"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"
"2:35:01::"	"to"	"the"	"manage"	"muzzle"	"manage_to"	"to_the"	"the_muzzle"	",_manage_to"	"manage_to_the"	"to_the_muzzle"	"the_muzzle_away"	"ε"	"VB"	"TO"	"VB"	"DT"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mike"	"off"	"balance"	"to"	"bat"	"the"	"muzzle"	"away"	"a"	"moment"	"before"	"it"	"explode"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:29:00::"	","	"lovely"	"vera_forbes_adams"	"big"	"vera_forbes_adams_,"	",_lovely"	"lovely_big"	"exclaim_vera_forbes_adams_,"	"vera_forbes_adams_,_lovely"	",_lovely_big"	"lovely_big_eyes"	"VB"	"NNP"	"ε"	"VB"	"JJ"	"JJ"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"billie"	"be"	"really"	"beautiful"	"vera_forbes_adams"	"bat"	"lovely"	"big"	"eyes"	"behind"	"glitter"	"rimmed"	"glasses"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"to"	"and"	"get_up"	"hit"	"get_up_to"	"to_and"	"and_hit"	"person_get_up_to"	"get_up_to_and"	"to_and_hit"	"and_hit_a"	"NNP"	"VB"	"TO"	"VB"	"CC"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"last"	"of"	"sixth"	"inning"	"person"	"get_up"	"to"	"bat"	"and"	"hit"	"a"	"fastball"	"over"	"the"	"left_fielder"	"head"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"to"	"."	"up"	"∅"	"up_to"	"to_."	"._∅"	"come_up_to"	"up_to_."	"to_._∅"	"._∅_∅"	"VB"	"VB"	"VB"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"game"	"start"	"and"	"in"	"the"	"eighth"	"person"	"come"	"up"	"to"	"bat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"his"	"."	"of"	"∅"	"of_his"	"his_."	"._∅"	"end_of_his"	"of_his_."	"his_._∅"	"._∅_∅"	"NN"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"pound"	"the"	"rubber"	"with"	"the"	"end"	"of"	"his"	"bat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"throw"	"practice"	"person"	"about"	"person_throw"	"throw_practice"	"practice_about"	"``_person_throw"	"person_throw_practice"	"throw_practice_about"	"practice_about_25"	"ε"	"NNP"	"VB"	"VB"	"NN"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"bat"	"practice"	"about"	"minute"	"and"	"he"	"look"	"good"	"person"	"say"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"extra"	"practice"	"need"	","	"need_extra"	"extra_practice"	"practice_,"	"group_need_extra"	"need_extra_practice"	"extra_practice_,"	"practice_,_but"	"NNP"	"VB"	"JJ"	"VB"	"NN"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"statistic"	"hardly"	"indicate"	"the"	"group"	"need"	"extra"	"bat"	"practice"	"but"	"person"	"also"	"turn"	"his"	"men"	"loose"	"at"	"location"	"yesterday"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"'"	"quiet_down"	"group"	"a_bit"	"group_'"	"'_quiet_down"	"quiet_down_a_bit"	"the_group_'"	"group_'_quiet_down"	"'_quiet_down_a_bit"	"quiet_down_a_bit_in"	"DT"	"NNP"	"ε"	"NN"	"VB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"until"	"group"	"bat"	"quiet_down"	"a_bit"	"in"	"cincinnati"	"over"	"the"	"weekend"	"the"	"champion"	"have"	"eight"	"man"	"hit"	"over"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"at"	"with"	"night"	"four"	"night_at"	"at_with"	"with_four"	"big_night_at"	"night_at_with"	"at_with_four"	"with_four_hit"	"JJ"	"NN"	"NN"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"also"	"have"	"big"	"night"	"at"	"bat"	"with"	"four"	"hit"	"in"	"five"	"trip"	"include"	"a"	"double"	"person"	"also"	"be"	"for"	"with"	"two"	"double"	"and"	"person"	"have"	"a"	"home_run"	"and"	"a"	"triple"	
"2:35:01::"	"he"	".365"	"when"	"and"	"when_he"	"he_.365"	".365_and"	",_when_he"	"when_he_.365"	"he_.365_and"	".365_and_also"	"ε"	"WRB"	"PRP"	"VB"	"CD"	"CC"	"RB"	"0"	"person"	"the"	"bullnecked"	"blond"	"switch-hitter"	"have"	"one"	"sensational"	"triple-crown_season"	"when"	"he"	"bat"	"also"	"lead"	"the"	"group"	"in"	"home_run"	"and"	"rbi"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"the"	"in"	"with"	"their"	"with_the"	"the_in"	"in_their"	"anemic_with_the"	"with_the_in"	"the_in_their"	"in_their_windy"	"JJ"	"IN"	"DT"	"NN"	"IN"	"PRP$"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"group"	"who"	"be"	"anemic"	"with"	"the"	"bat"	"in"	"their"	"windy"	"location"	"suddenly"	"find"	"the"	"formula"	"in"	"milwaukee"	"park"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	","	"for"	"person"	"person"	"person_,"	",_for"	"for_person"	"∅_person_,"	"person_,_for"	",_for_person"	"for_person_,"	"ε"	"NNP"	"ε"	"VB"	"IN"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"bat"	"for"	"person"	"fan"	"after"	"foul"	"off"	"two"	"and"	"pitch"	"and"	"person"	"up"	"for"	"person"	"bounce_out"	"sharply"	"to"	"person"	"at"	"second"	"to"	"end"	"the"	"hour"	"and"	"minute"	"contest"	
"1:06:01::"	"a"	","	"grab"	"head"	"grab_a"	"a_,"	",_head"	"third_sacker_grab_a"	"grab_a_,"	"a_,_head"	",_head_for"	"NN"	"VB"	"DT"	"NN"	"ε"	"VB"	"IN"	"ride"	"on"	"this"	"one"	"person"	"greet"	"person"	"as"	"the"	"group"	"third_sacker"	"grab"	"a"	"head"	"for"	"the"	"plate"	"and"	"bounce"	"a"	"third"	"inning"	"two"	"run"	"double"	"off"	"the"	"left"	"centerfield"	"wall"	"tonight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
