"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"
"1:10:01::"	","	"and"	"paradox"	"invention"	"paradox_,"	",_and"	"and_invention"	",_paradox_,"	"paradox_,_and"	",_and_invention"	"and_invention_''"	"ε"	"NN"	"ε"	"NN"	"CC"	"NN"	"ε"	"have"	"write"	"on"	"utopia"	"have"	"treat"	"it"	"as"	"a"	"learned"	"diversion"	"of"	"a"	"learned"	"world"	"a"	"phantasy"	"with"	"which"	"person"	"amuse"	"himself"	"a"	"holiday"	"work"	"a"	"spontaneous"	"overflow"	"of"	"intellectual"	"high_spirits"	"a"	"revel"	"of"	"debate"	"paradox"	"comedy"	"and"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"delightful"	"for"	"a"	"his"	"a_delightful"	"delightful_for"	"for_his"	"choose_a_delightful"	"a_delightful_for"	"delightful_for_his"	"for_his_season"	"VB"	"DT"	"JJ"	"NN"	"IN"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"has"	"a"	"delightful"	"comedy"	"for"	"his"	"season"	"opener"	"at"	"location"	"in"	"person"	"king_of_hearts"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"in"	"."	"venture"	"∅"	"venture_in"	"in_."	"._∅"	"refreshing_venture_in"	"venture_in_."	"in_._∅"	"._∅_∅"	"JJ"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"where_the_boys_are"	"also"	"have"	"a"	"juvenile"	"bounce"	"make_for"	"a"	"refreshing"	"venture"	"in"	"comedy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"and"	"''"	"humor"	","	"humor_and"	"and_''"	"''_,"	"of_humor_and"	"humor_and_''"	"and_''_,"	"''_,_i"	"IN"	"NN"	"CC"	"NN"	"ε"	"ε"	"PRP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"come"	"to"	"talk"	"with"	"about"	"the"	"future"	"of"	"humor"	"and"	"comedy"	"i"	"tell"	"him"	"at"	"which"	"he"	"start"	"slightly"	"and_then"	"make"	"us"	"each"	"a"	"stiff"	"drink"	"with"	"a"	"trembling"	"hand"	
"1:10:00::"	"and"	"five"	"humor"	"year"	"humor_and"	"and_five"	"five_year"	"give_humor_and"	"humor_and_five"	"and_five_year"	"five_year_to"	"VB"	"NN"	"CC"	"NN"	"JJ"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"seem"	"to"	"remember"	"he"	"say"	"that"	"in"	"an"	"interview"	"year"	"ago"	"you"	"give"	"humor"	"and"	"comedy"	"five"	"year"	"to"	"live"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"and"	"''"	"humor"	"?"	"humor_and"	"and_''"	"''_?"	"of_humor_and"	"humor_and_''"	"and_''_?"	"''_?_∅"	"IN"	"NN"	"CC"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"we"	"cannot"	"tell"	"evil"	"horror"	"and"	"insanity"	"from"	"nonsense"	"be"	"the"	"future"	"of"	"humor"	"and"	"comedy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"in"	"''"	"us"	"?"	"us_in"	"in_''"	"''_?"	"of_us_in"	"us_in_''"	"in_''_?"	"''_?_∅"	"IN"	"PRP"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"you"	"think"	"the"	"russian"	"get_ahead"	"of"	"us"	"in"	"comedy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"and"	"behind"	"humor"	"again"	"humor_and"	"and_behind"	"behind_again"	"leave_humor_and"	"humor_and_behind"	"and_behind_again"	"behind_again_''"	"VB"	"NN"	"CC"	"NN"	"IN"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"now"	"we"	"are"	"humor"	"and"	"comedy"	"behind"	"again"	"person"	"protest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"of"	"."	"class"	"∅"	"class_of"	"of_."	"._∅"	"extensive_class_of"	"class_of_."	"of_._∅"	"._∅_∅"	"JJ"	"NN"	"IN"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"comic"	"indefinite"	"an"	"extensive"	"class"	"of"	"comedy"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"the"	"of"	"in"	"indefinite"	"in_the"	"the_of"	"of_indefinite"	"∅_in_the"	"in_the_of"	"the_of_indefinite"	"of_indefinite_reference"	"ε"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"comedy"	"of"	"indefinite"	"reference"	"it"	"wit"	"occupy"	"a"	"prominent"	"place"	"because"	"of"	"its"	"frequent"	"occurrence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
