"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"
"2:38:00::"	"and"	"him"	"time"	"up"	"time_and"	"and_him"	"him_up"	"made_time_and"	"time_and_him"	"and_him_up"	"him_up_within"	"VBD"	"NN"	"CC"	"VB"	"PRP"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"time"	"and"	"pick_up"	"him"	"up"	"within"	"ten"	"blocks"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	","	"the"	"side"	"new"	"side_,"	",_the"	"the_new"	"wrong_side_,"	"side_,_the"	",_the_new"	"the_new_strand"	"JJ"	"NN"	"ε"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"change"	"from"	"one"	"color"	"to"	"another"	"work_on"	"right"	"or"	"wrong"	"side"	"pick_up"	"the"	"new"	"strand"	"from"	"underneath"	"drop"	"strand"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:37:00::"	"to"	"himself"	"want"	"up"	"want_to"	"to_himself"	"himself_up"	"he_want_to"	"want_to_himself"	"to_himself_up"	"himself_up_."	"PRP"	"VB"	"VB"	"VB"	"PRP"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"mrs._marr"	"be"	"the"	"first"	"contact"	"a"	"skid_row"	"talk"	"to"	"after"	"he"	"decide"	"he"	"want"	"to"	"pick_up"	"himself"	"up"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	","	"his"	"fence"	"winchester"	"fence_,"	",_his"	"his_winchester"	"the_fence_,"	"fence_,_his"	",_his_winchester"	"his_winchester_,"	"DT"	"NN"	"ε"	"VB"	"PRP$"	"NNP"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"clean"	"his"	"shovel"	"leave"	"against"	"the"	"fence"	"pick_up"	"his"	"winchester"	"and"	"start"	"downstream"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"he"	"her"	"∅"	"up"	"∅_he"	"he_her"	"her_up"	"∅_∅_he"	"∅_he_her"	"he_her_up"	"her_up_,"	"ε"	"ε"	"PRP"	"VB"	"PRP$"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pick_up"	"her"	"up"	"slide"	"one"	"hand"	"under"	"her"	"shoulders"	"the"	"under"	"her"	"knees"	"and"	"carry"	"her"	"into"	"the"	"house"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"ekstrohm"	"a"	"∅"	"lightweight"	"∅_ekstrohm"	"ekstrohm_a"	"a_lightweight"	"∅_∅_ekstrohm"	"∅_ekstrohm_a"	"ekstrohm_a_lightweight"	"a_lightweight_no-back"	"ε"	"ε"	"NNP"	"VB"	"DT"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"pick_up"	"a"	"lightweight"	"no-back"	"from"	"the"	"ship"	"library"	"a"	"book"	"by"	"bloch"	"the"	"famous"	"twentieth"	"century"	"expert"	"on"	"sex"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"vice_squad"	"her"	"the"	"up"	"the_vice_squad"	"vice_squad_her"	"her_up"	"when_the_vice_squad"	"the_vice_squad_her"	"vice_squad_her_up"	"her_up_for"	"WRB"	"DT"	"NN"	"VB"	"PRP"	"IN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"houston"	"police"	"get"	"to"	"know"	"two"	"years"	"ago"	"when"	"the"	"vice_squad"	"pick_up"	"her"	"up"	"for"	"question"	"about"	"a"	"call_girl"	"ring"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:01::"	"not"	"the"	"did"	"smile"	"did_not"	"not_the"	"the_smile"	"eyes_did_not"	"did_not_the"	"not_the_smile"	"the_smile_on"	"NNS"	"VBD"	"RB"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and_then"	"castro"	"himself"	"did"	"come"	"bearded"	"smiling"	"yet"	"if"	"you"	"look"	"closely"	"you"	"see"	"his"	"eyes"	"did"	"not"	"pick_up"	"the"	"smile"	"on"	"his"	"lips"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:01::"	"to"	","	"bellboy"	"then"	"bellboy_to"	"to_,"	",_then"	"the_bellboy_to"	"bellboy_to_,"	"to_,_then"	",_then_go_to"	"DT"	"NN"	"TO"	"VB"	"ε"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"close"	"the"	"last"	"bag"	"and"	"stand"	"three"	"at"	"the"	"door"	"for"	"the"	"bellboy"	"to"	"pick_up"	"then"	"go_to"	"the"	"bathroom"	"for"	"a"	"drink"	"of"	"water"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:38:00::"	"florida"	"guests"	"originate_in"	"on"	"originate_in_florida"	"florida_guests"	"guests_on"	"flight_originate_in_florida"	"originate_in_florida_guests"	"florida_guests_on"	"guests_on_the"	"NN"	"VB"	"NNP"	"VB"	"NNS"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"originate_in"	"florida"	"pick_up"	"guests"	"on"	"the"	"east_coast"	"and"	"midwest"	"and"	"a"	"plane"	"leave"	"from"	"seattle"	"take_on"	"passengers"	"at"	"west_coast"	"points"	"0"	"0"	"0"	"0"	
