"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"
"2:35:01::"	","	"creek-turn"	"jars"	"brown"	"jars_,"	",_creek-turn"	"creek-turn_brown"	"on_jars_,"	"jars_,_creek-turn"	",_creek-turn_brown"	"creek-turn_brown_toner"	"IN"	"NNS"	"ε"	"VB"	"JJ"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"an"	"antique"	"on"	"jars"	"brush"	"creek-turn"	"brown"	"toner"	"on"	"bisque"	"ware"	"and"	"sponge"	"it"	"off"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"car"	"against"	"'s"	"a"	"'s_car"	"car_against"	"against_a"	"mr._stone_'s_car"	"'s_car_against"	"car_against_a"	"against_a_car"	"NNP"	"POS"	"NN"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"before"	"hit"	"the"	"mr._stone"	"car"	"brush"	"against"	"a"	"car"	"drive"	"by"	"alva_w._vernava"	"of"	"maple_ave."	"north_providence"	"tear_away"	"the"	"rear"	"bumper"	"and"	"dent"	"the"	"left"	"rear"	"fender"	"of"	"the"	"vernava"	"car"	"police"	"say"	
"2:35:00::"	"roberts"	"at"	"∅"	"his"	"∅_roberts"	"roberts_at"	"at_his"	"∅_∅_roberts"	"∅_roberts_at"	"roberts_at_his"	"at_his_eyes"	"ε"	"ε"	"NNP"	"VB"	"IN"	"PRP$"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"brush"	"at"	"his"	"eyes"	"with"	"his"	"free"	"hand"	"and"	"start"	"down"	"the"	"steps"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"off"	"from"	"at"	"from_the"	"the_off"	"off_at"	"fragment_from_the"	"from_the_off"	"the_off_at"	"off_at_one"	"NN"	"IN"	"DT"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"carbine"	"crack"	"more"	"loudly"	"and"	"slug"	"clip"	"fragment"	"from"	"the"	"brush"	"off"	"at"	"one"	"side"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"away"	"try"	"this"	"try_to"	"to_away"	"away_this"	"he_try_to"	"try_to_away"	"to_away_this"	"away_this_intuition"	"PRP"	"VB"	"TO"	"VB"	"RB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"feverishly"	"he"	"to"	"brush"	"away"	"this"	"intuition"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"my"	","	"wipe"	"but"	"wipe_my"	"my_,"	",_but"	"to_wipe_my"	"wipe_my_,"	"my_,_but"	",_but_to"	"TO"	"VB"	"PRP$"	"NN"	"ε"	"CC"	"TO"	"0"	"0"	"in_addition_to"	"the"	"usual"	"tool"	"i"	"make"	"constant"	"use"	"of"	"cleansing"	"tissue"	"not_only"	"to"	"wipe"	"brush"	"but"	"to"	"mop_up"	"certain"	"area"	"to"	"soften"	"edge"	"and"	"to"	"open_up"	"light"	"in"	"dark"	"wash"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:00::"	"my"	"be"	"``"	"different"	"``_my"	"my_be"	"be_different"	"∅_``_my"	"``_my_be"	"my_be_different"	"be_different_from"	"ε"	"ε"	"PRP$"	"NN"	"VB"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"brush"	"be"	"different"	"from"	"those"	"use"	"by"	"most"	"watercolorist"	"for"	"i"	"combine"	"the"	"sable"	"and"	"the"	"bristle"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:00::"	"he"	"by"	"∅"	"the"	"∅_he"	"he_by"	"by_the"	"∅_∅_he"	"∅_he_by"	"he_by_the"	"by_the_idiotic"	"ε"	"ε"	"PRP"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"brush"	"by"	"the"	"idiotic"	"boy"	"and"	"lumber"	"heavily"	"up_the_stairs"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"the"	"clump"	"behind"	","	"behind_the"	"the_clump"	"clump_,"	"grass_behind_the"	"behind_the_clump"	"the_clump_,"	"clump_,_person"	"NN"	"IN"	"DT"	"NN"	"NN"	"ε"	"NNP"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lie"	"in"	"grass"	"behind"	"the"	"brush"	"clump"	"person"	"look"	"about"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:35:01::"	"person"	"the"	"∅"	"dust"	"∅_person"	"person_the"	"the_dust"	"∅_∅_person"	"∅_person_the"	"person_the_dust"	"the_dust_from"	"ε"	"ε"	"NNP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"brush"	"the"	"dust"	"from"	"his"	"coat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
