"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"
"2:39:00::"	"it"	"a"	"that"	"pity"	"that_it"	"it_a"	"a_pity"	"hunter_college_that_it"	"that_it_a"	"it_a_pity"	"a_pity_to"	"NNP"	"IN"	"PRP"	"VB"	"DT"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"elisabeth_schwarzkopf"	"sing"	"so"	"magnificently"	"night"	"at"	"hunter_college"	"that"	"it"	"seem"	"a"	"pity"	"to"	"have_to"	"register"	"any"	"complaints"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"who"	"qualified"	"alive"	"by"	"alive_who"	"who_qualified"	"qualified_by"	"man_alive_who"	"alive_who_qualified"	"who_qualified_by"	"qualified_by_his"	"NN"	"JJ"	"WP"	"VB"	"JJ"	"IN"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"only"	"alive"	"who"	"seem"	"qualified"	"by"	"his"	"learning"	"his"	"disposition"	"and"	"his"	"addiction"	"to"	"a"	"baroque"	"luxuriance"	"of"	"language"	"to"	"inherit"	"the"	"literary"	"mantle"	"of"	"sacheverell_sitwell"	"mr._sansom"	"write"	"of"	"foreign"	"parts"	"with"	"a"	"dedication"	"to"	"decoration"	"worthy"	"of"	"a"	"pastry"	"chef"	"create"	"a"	"wedding_cake"	"for"	"the"	"marriage"	"of"	"a"	"hungarian"	"beauty"	"her"	"third"	"and"	"an"	"american"	"multimillionaire"	"his"	"fourth"	
"2:39:00::"	"also"	"inadequate"	"hypothesis"	"as"	"hypothesis_also"	"also_inadequate"	"inadequate_as"	"suggestion_hypothesis_also"	"hypothesis_also_inadequate"	"also_inadequate_as"	"inadequate_as_an"	"NN"	"NN"	"RB"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"hypothesis"	"also"	"seem"	"inadequate"	"as"	"an"	"explanation"	"for"	"those"	"who"	"shift"	"their"	"reactions"	"after"	"they"	"were"	"inform"	"of"	"the"	"of"	"normal"	"reactions"	"different"	"from"	"those"	"which"	"they"	"give"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"subjects"	"to"	"kohnstamm-positive"	"be"	"kohnstamm-positive_subjects"	"subjects_to"	"to_be"	"the_kohnstamm-positive_subjects"	"kohnstamm-positive_subjects_to"	"subjects_to_be"	"to_be_freer"	"DT"	"JJ"	"NNS"	"VB"	"TO"	"VB"	"JJR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"subjects"	"seem"	"to"	"be"	"freer"	"to"	"experience"	"the"	"unusual"	"and"	"seemingly"	"impossible"	"in"	"the"	"external"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	","	"to"	"case"	"be"	"case_,"	",_to"	"to_be"	"non-service-connected_case_,"	"case_,_to"	",_to_be"	"to_be_coldly"	"JJ"	"NN"	"ε"	"VB"	"TO"	"VB"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"arguments"	"advance"	"by"	"those"	"individuals"	"and"	"groups"	"who"	"oppose"	"the"	"system"	"in_force"	"who"	"would"	"drastically"	"curtail"	"or"	"do_away"	"entirely"	"with"	"hospital_care"	"for"	"the"	"non-service-connected"	"case"	"seem"	"to"	"be"	"coldly"	"impractical"	"and"	"out-of-step"	"with"	"the"	"wishes"	"of"	"the"	"general"	"public"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:01::"	"it"	"that"	"∅"	"open"	"∅_it"	"it_that"	"that_open"	"∅_∅_it"	"∅_it_that"	"it_that_open"	"that_open_season"	"ε"	"ε"	"PRP"	"VB"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seem"	"that"	"open"	"season"	"upon"	"veterans"	"hospitalization"	"be"	"once_more"	"upon"	"us"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"may"	"high"	"costs"	","	"costs_may"	"may_high"	"high_,"	"``_costs_may"	"costs_may_high"	"may_high_,"	"high_,_but"	"ε"	"NNS"	"MD"	"VB"	"JJ"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"costs"	"seem"	"high"	"but"	"they"	"used_to"	"be"	"even"	"higher"	"say"	"dr._brodie"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"there"	"to"	"but"	"be"	"but_there"	"there_to"	"to_be"	"∅_but_there"	"but_there_to"	"there_to_be"	"to_be_some"	"ε"	"CC"	"EX"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"there"	"seem"	"to"	"be"	"some"	"difference_of_opinion"	"as"	"to"	"how"	"far"	"the"	"board"	"should"	"go"	"and"	"whose"	"advice"	"it"	"should"	"follow"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"there"	"to"	"that"	"be"	"that_there"	"there_to"	"to_be"	"say_that_there"	"that_there_to"	"there_to_be"	"to_be_feeling"	"VB"	"IN"	"EX"	"VB"	"TO"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dr._barnes"	"that"	"there"	"seem"	"to"	"be"	"feeling"	"that"	"evacuation"	"plans"	"even"	"for"	"a"	"high_school"	"where"	"there"	"be"	"lots_of"	"cars"	"might"	"not"	"be"	"realistic"	"and"	"would"	"not"	"work"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"it"	"to"	"∅"	"us"	"∅_it"	"it_to"	"to_us"	"∅_∅_it"	"∅_it_to"	"it_to_us"	"to_us_that"	"ε"	"ε"	"PRP"	"VB"	"TO"	"PRP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seem"	"to"	"us"	"that"	"choices"	"exercise"	"by"	"realtors"	"in"	"moral"	"situations"	"center"	"in"	"at_least"	"three"	"areas"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
