"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"
"1:23:00::"	"25"	"per"	"to"	"ton"	"to_25"	"25_per"	"per_ton"	"10_to_25"	"to_25_per"	"25_per_ton"	"per_ton_of"	"JJ"	"TO"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"increase"	"rate"	"of"	"gain"	"and"	"feed"	"efficiency"	"feed"	"to"	"gram"	"per"	"ton"	"of"	"complete"	"feed"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"20"	"per"	"to"	"ton"	"to_20"	"20_per"	"per_ton"	"10_to_20"	"to_20_per"	"20_per_ton"	"per_ton_."	"JJ"	"TO"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"increase"	"rate"	"of"	"gain"	"and"	"feed"	"efficiency"	"feed"	"to"	"gram"	"per"	"ton"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"50"	"of"	"than"	"aureomycin"	"than_50"	"50_of"	"of_aureomycin"	"less_than_50"	"than_50_of"	"50_of_aureomycin"	"of_aureomycin_per"	"RB"	"RB"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"for"	"calf"	"feed"	"less"	"than"	"gram"	"of"	"aureomycin"	"per"	"ton"	"complete"	"feed"	"as"	"an"	"aid"	"in"	"prevent"	"bacterial"	"diarrhea"	"and"	"foot_rot"	"0"	"0"	
"1:23:00::"	"50"	"of"	"than"	"aureomycin"	"than_50"	"50_of"	"of_aureomycin"	"more_than_50"	"than_50_of"	"50_of_aureomycin"	"of_aureomycin_per"	"RB"	"RB"	"JJ"	"NN"	"IN"	"NN"	"IN"	"aid"	"in"	"reduce"	"loss"	"due_to"	"enterotoxemia"	"overeating"	"disease"	"feed"	"a"	"complete"	"ration"	"contain"	"not"	"less"	"than"	"and"	"more"	"than"	"gram"	"aureomycin"	"per"	"ton"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"0.2"	"dynafac"	"∅"	"per"	"∅_0.2"	"0.2_dynafac"	"dynafac_per"	"∅_∅_0.2"	"∅_0.2_dynafac"	"0.2_dynafac_per"	"dynafac_per_head"	"ε"	"ε"	"CD"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dynafac"	"per"	"head"	"daily"	"gram"	"of"	"premix"	"per"	"head"	"daily"	"for"	"promote"	"growth"	"feed"	"conversion"	"bloom"	"and"	"full"	"feed"	"earlier"	
"1:23:00::"	"1"	"of"	"("	"premix"	"(_1"	"1_of"	"of_premix"	"daily_(_1"	"(_1_of"	"1_of_premix"	"of_premix_per"	"RB"	"ε"	"JJ"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"gram"	"dynafac"	"per"	"daily"	"gram"	"of"	"premix"	"per"	"head"	"daily"	"for"	"promote"	"growth"	"feed"	"conversion"	"bloom"	"and"	"full"	"feed"	"earlier"	"0"	"0"	"0"	
"1:23:00::"	"0.4"	"per"	"to"	"head"	"to_0.4"	"0.4_per"	"per_head"	"0.3_to_0.4"	"to_0.4_per"	"0.4_per_head"	"per_head_per"	"CD"	"TO"	"CD"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dynafac"	"in"	"a"	"complete"	"ration"	"to"	"gram"	"per"	"head"	"per"	"day"	"gram"	"of"	"premix"	"per"	"ton"	"complete"	"ration"	"or"	"equivalent"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"200"	"of"	"("	"premix"	"(_200"	"200_of"	"of_premix"	"day_(_200"	"(_200_of"	"200_of_premix"	"of_premix_per"	"NN"	"ε"	"CD"	"NN"	"IN"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"dynafac"	"in"	"a"	"complete"	"ration"	"or"	"to"	"gram"	"head"	"per"	"day"	"gram"	"of"	"premix"	"per"	"ton"	"complete"	"ration"	"or"	"equivalent"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"10"	"premix"	"∅"	"per"	"∅_10"	"10_premix"	"premix_per"	"∅_∅_10"	"∅_10_premix"	"10_premix_per"	"premix_per_head"	"ε"	"ε"	"JJ"	"NN"	"NN"	"IN"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"premix"	"per"	"head"	"per"	"day"	"for"	"promote"	"growth"	"feed"	"conversion"	"and"	"get"	"lamb"	"on"	"full"	"feed"	"earlier"	"0"	"0"	"0"	
"1:23:00::"	"1_-_1_2"	"per"	"to"	"100"	"to_1_-_1_2"	"1_-_1_2_per"	"per_100"	"1_to_1_-_1_2"	"to_1_-_1_2_per"	"1_-_1_2_per_100"	"per_100_pound"	"JJ"	"TO"	"CD"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"per"	"pound"	"of"	"body_weight"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"10"	"per"	"with"	"100"	"with_10"	"10_per"	"per_100"	"cattle_with_10"	"with_10_per"	"10_per_100"	"per_100_pound"	"NN"	"IN"	"JJ"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"treat"	"with"	"gram"	"per"	"pound"	"body_weight"	"with"	"a"	"maximum"	"of"	"gram"	"per"	"animal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"70"	"per"	"of"	"animal"	"of_70"	"70_per"	"per_animal"	"maximum_of_70"	"of_70_per"	"70_per_animal"	"per_animal_."	"NN"	"IN"	"JJ"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"treat"	"cattle"	"with"	"gram"	"per"	"pound"	"with"	"a"	"maximum"	"of"	"gram"	"per"	"animal"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"per"	"of"	"fitc"	"globulin"	"fitc_per"	"per_of"	"of_globulin"	"of_fitc_per"	"fitc_per_of"	"per_of_globulin"	"of_globulin_."	"IN"	"NNP"	"IN"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"f"	"was"	"first"	"conjugated"	"with"	"of"	"fitc"	"per"	"gram"	"of"	"globulin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:23:00::"	"per"	"of"	"fitc"	"globulin"	"fitc_per"	"per_of"	"of_globulin"	"of_fitc_per"	"fitc_per_of"	"per_of_globulin"	"of_globulin_."	"IN"	"NNP"	"IN"	"NN"	"IN"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"later"	"experiment"	"f"	"and"	"f"	"were"	"prepare"	"by"	"conjugate"	"mg"	"fitc"	"per"	"gram"	"of"	"globulin"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
