"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"
"1:08:00::"	"his"	"and"	"clear"	"wet"	"clear_his"	"his_and"	"and_wet"	"he_clear_his"	"clear_his_and"	"his_and_wet"	"and_wet_his"	"PRP"	"VB"	"PRP$"	"NN"	"CC"	"VB"	"PRP$"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"he"	"his"	"throat"	"and"	"wet"	"his"	"lip"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"."	"clear"	"∅"	"clear_his"	"his_."	"._∅"	"had_to_clear_his"	"clear_his_."	"his_._∅"	"._∅_∅"	"VB"	"VB"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"clear"	"his"	"throat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"her"	"."	"in"	"∅"	"in_her"	"her_."	"._∅"	"constriction_in_her"	"in_her_."	"her_._∅"	"._∅_∅"	"NN"	"IN"	"PRP$"	"NN"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"swallow"	"past"	"another"	"of"	"constriction"	"in"	"her"	"throat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"their"	","	"clog"	"and"	"clog_their"	"their_,"	",_and"	"dust_clog_their"	"clog_their_,"	"their_,_and"	",_and_the"	"NN"	"VB"	"PRP$"	"NN"	"ε"	"CC"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"clog"	"their"	"throat"	"and"	"the"	"heat"	"parch"	"them"	"so"	"that"	"the"	"woman"	"be"	"always"	"make"	"ice_water"	
"1:08:00::"	"my"	"clear"	"get"	","	"get_my"	"my_clear"	"clear_,"	"to_get_my"	"get_my_clear"	"my_clear_,"	"clear_,_but"	"TO"	"VB"	"PRP$"	"NN"	"JJ"	"ε"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"did"	"n't"	"say"	"try"	"to"	"get"	"my"	"throat"	"clear"	"but"	"i"	"watch"	"him"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"and"	"down"	"in"	"down_his"	"his_and"	"and_in"	"get_down_his"	"down_his_and"	"his_and_in"	"and_in_a"	"VB"	"VB"	"PRP$"	"NN"	"CC"	"IN"	"DT"	"pour"	"whisky"	"in"	"the"	"kid"	"mouth"	"but"	"his"	"mouth"	"fill"	"without"	"any"	"get"	"down"	"and"	"in"	"a"	"second"	"it"	"was"	"drip"	"from"	"his"	"chin"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"his"	"'s"	"``"	"shut"	"``_his"	"his_'s"	"'s_shut"	"∅_``_his"	"``_his_'s"	"his_'s_shut"	"'s_shut_."	"ε"	"ε"	"PRP$"	"NN"	"POS"	"JJ"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"throat"	"shut"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"the"	"or"	"in"	"the"	"in_the"	"the_or"	"or_the"	"either_in_the"	"in_the_or"	"the_or_the"	"or_the_mouth"	"DT"	"IN"	"DT"	"NN"	"CC"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"heart"	"i"	"finally"	"be"	"now"	"either"	"in"	"throat"	"or"	"the"	"mouth"	"or"	"the"	"stomach"	"or"	"the"	"shoe"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:06:01::"	"oval"	","	"and"	"and"	"and_oval"	"oval_,"	",_and"	"squared_and_oval"	"and_oval_,"	"oval_,_and"	",_and_shantung"	"JJ"	"CC"	"JJ"	"NN"	"ε"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"the"	"tintable"	"group"	"be"	"high"	"and"	"little"	"squared"	"and"	"oval"	"throat"	"and"	"shantung"	"like"	"texture"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:08:00::"	"the"	"of"	"from"	"western"	"from_the"	"the_of"	"of_western"	"rise_from_the"	"from_the_of"	"the_of_western"	"of_western_publicist"	"VB"	"IN"	"DT"	"NN"	"IN"	"JJ"	"NN"	"0"	"0"	"when"	"east_german"	"flee"	"to"	"the"	"west"	"by"	"the"	"thousand"	"paean"	"joy"	"rise"	"the"	"throat"	"of"	"western"	"publicist"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
