"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"
"1:10:00::"	"lasting"	","	"and"	"person"	"and_lasting"	"lasting_,"	",_person"	"memorable_and_lasting"	"and_lasting_,"	"lasting_,_person"	",_person_and"	"JJ"	"CC"	"JJ"	"NN"	"ε"	"NNP"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"though"	"they"	"would"	"produce"	"very"	"memorable"	"and"	"lasting"	"song"	"person"	"and"	"person"	"were"	"not"	"give"	"strong"	"material"	"to"	"work_on"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"first"	","	"his"	"a"	"his_first"	"first_,"	",_a"	"turn_out_his_first"	"his_first_,"	"first_,_a"	",_a_jazzy"	"VB"	"PRP$"	"JJ"	"NN"	"ε"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"he"	"be"	"person"	"turn_out"	"his"	"first"	"song"	"a"	"jazzy"	"little"	"thing"	"he"	"call"	"sister_susie"	"strut_your_stuff"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"a"	"he"	"for"	"had"	"for_a"	"a_he"	"he_had"	"lyricist_for_a"	"for_a_he"	"a_he_had"	"he_had_write"	"NN"	"RB"	"RB"	"NN"	"PRP"	"VBD"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"then"	"assistant"	"director"	"for"	"the"	"garrick_gaieties"	"a"	"production"	"need"	"a"	"lyricist"	"for"	"a"	"song"	"he"	"had"	"write"	"he"	"just"	"happened"	"not"	"to"	"need"	"any"	"actor"	"at"	"the"	"moment"	"however"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"write"	"and"	"could"	"material"	"could_write"	"write_and"	"and_material"	"i_could_write"	"could_write_and"	"write_and_material"	"and_material_generally"	"PRP"	"MD"	"VB"	"NN"	"CC"	"NN"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"he"	"hear"	"that"	"person"	"was"	"look_for"	"singer"	"to"	"replace"	"the"	"rhythm_boys"	"person"	"apply"	"and"	"get"	"the"	"job"	"not"	"for"	"my"	"voice"	"i"	"sure"	"but"	"because"	"i"	"could"	"song"	"and"	"material"	"generally"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"'s"	"write"	"person"	"career"	"person_'s"	"'s_write"	"write_career"	"of_person_'s"	"person_'s_write"	"'s_write_career"	"write_career_."	"IN"	"NNP"	"POS"	"NN"	"VB"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"person"	"person"	"association"	"bring"	"him"	"into"	"contact"	"with"	"person"	"whose"	"snowball"	"person"	"relyric"	"as"	"lazybones"	"in"	"which"	"form"	"it"	"become"	"a"	"hit"	"and"	"mark"	"the"	"real"	"beginning"	"of"	"song"	"write"	"career"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"film"	"to"	"substantial"	"his"	"substantial_film"	"film_to"	"to_his"	"several_substantial_film"	"substantial_film_to"	"film_to_his"	"to_his_credit"	"JJ"	"JJ"	"NN"	"NN"	"TO"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"when"	"person"	"and"	"person"	"begin"	"their"	"collaboration"	"in"	"person"	"person"	"have"	"several"	"substantial"	"film"	"song"	"to"	"his"	"credit"	"among"	"them"	"hooray_for_hollywood"	"ride"	"tenderfoot"	"ride"	"have_you_got_any_castles"	"baby"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"cotton_club"	"in_that"	"the"	"it"	"the_cotton_club"	"cotton_club_in_that"	"in_that_it"	"of_the_cotton_club"	"the_cotton_club_in_that"	"cotton_club_in_that_it"	"in_that_it_be"	"IN"	"DT"	"NNP"	"NN"	"RB"	"PRP"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"americanegro_suite"	"be"	"in_a_sense"	"extension"	"of"	"the"	"cotton_club"	"song"	"in_that"	"it"	"be"	"a"	"collection"	"of"	"negro"	"song"	"not"	"for"	"a"	"nightclub"	"but"	"for"	"the"	"concert"	"stage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"negro"	","	"of"	"not"	"of_negro"	"negro_,"	",_not"	"collection_of_negro"	"of_negro_,"	"negro_,_not"	",_not_for"	"NN"	"IN"	"NN"	"NN"	"ε"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"americanegro_suite"	"be"	"in_a_sense"	"an"	"extension"	"of"	"the"	"song"	"in_that"	"it"	"be"	"a"	"collection"	"of"	"negro"	"song"	"not"	"for"	"a"	"nightclub"	"but"	"for"	"the"	"concert"	"stage"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:10:00::"	"many"	"write"	"the"	"by"	"the_many"	"many_write"	"write_by"	"all_the_many"	"the_many_write"	"many_write_by"	"write_by_white"	"JJ"	"DT"	"JJ"	"NN"	"VB"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"negro"	"composer"	"person"	"study"	"the"	"americanegro_suite"	"and"	"of"	"it"	"of"	"all"	"the"	"many"	"song"	"write"	"by"	"white"	"composer"	"and"	"employ"	"what"	"claim"	"to"	"be"	"a"	"negroid"	"idiom"	"in"	"both"	"words"	"and"	"music"	"these"	"six"	"song"	"by"	"person"	"and"	"person"	"easily"	"stand_out"	"far"	"out"	"above"	"the"	"rest"	
"1:10:00::"	"six"	"by"	"these"	"person"	"these_six"	"six_by"	"by_person"	",_these_six"	"these_six_by"	"six_by_person"	"by_person_and"	"ε"	"DT"	"JJ"	"NN"	"IN"	"NNP"	"CC"	"composer"	"person"	"study"	"the"	"americanegro_suite"	"and"	"say"	"of"	"it"	"of"	"all"	"the"	"many"	"song"	"write"	"by"	"white"	"composer"	"and"	"employ"	"what"	"claim"	"to"	"be"	"a"	"negroid"	"idiom"	"in"	"both"	"words"	"and"	"music"	"these"	"six"	"by"	"person"	"and"	"person"	"easily"	"stand_out"	"far"	"out"	"above"	"the"	"rest"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
