"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"	"A102"	"A103"	"A104"	"A105"	"A106"	"A107"	"A108"	"A109"	"A110"	"A111"	"A112"	"A113"	"A114"	"A115"	"A116"	"A117"	"A118"	"A119"	"A120"	"A121"	"A122"	"A123"	"A124"	"A125"	"A126"	"A127"	"A128"	"A129"	"A130"	"A131"	"A132"	"A133"	"A134"	"A135"	"A136"	"A137"	"A138"	"A139"	"A140"	"A141"	"A142"	"A143"	"A144"	"A145"	"A146"	"A147"	"A148"	"A149"	"A150"	"A151"
"1:04:00::"	"the"	"shall"	","	"-"	",_the"	"the_shall"	"shall_-"	"act_,_the"	",_the_shall"	"the_shall_-"	"shall_-_∅"	"NN"	"ε"	"DT"	"NN"	"MD"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in_order"	"to"	"accomplish"	"the"	"of_this"	"act"	"the"	"secretary_of_the_interior"	"shall"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"may"	","	"-"	",_the"	"the_may"	"may_-"	"act_,_the"	",_the_may"	"the_may_-"	"may_-_∅"	"NN"	"ε"	"DT"	"NN"	"MD"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"carry_out"	"his"	"function"	"under"	"of_this"	"act"	"the"	"secretary_of_the_interior"	"may"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"shall"	"by"	"be"	"by_the"	"the_shall"	"shall_be"	"undertake_by_the"	"by_the_shall"	"the_shall_be"	"shall_be_coordinate"	"VB"	"IN"	"DT"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"research"	"and"	"development"	"undertake"	"by"	"the"	"secretary_of_the_interior"	"shall"	"be"	"coordinate"	"or"	"conduct"	"jointly"	"with"	"the"	"department_of_defense"	"to"	"the"	"end"	"that"	"development"	"under"	"this"	"act"	"which"	"be"	"primarily"	"of"	"a"	"civil"	"nature"	"will"	"contribute"	"to"	"the"	"defense"	"of"	"the"	"nation"	"and"	"that"	"development"	"which"	"be"	"primarily"	"of"	"a"	"military"	"nature"	"will"	"to"	"the"	"greatest"	"practicable"	"extent"	"compatible"	"with"	"military"	"and"	"security"	"requirement"	"be"	"available"	"to"	"advance"	"the"	"purpose"	"of_this"	"act"	"and"	"to"	"strengthen"	"the"	"civil"	"economy"	"of"	"the"	"nation"	
"1:04:00::"	"the"	"may"	"as"	"find"	"as_the"	"the_may"	"may_find"	",_as_the"	"as_the_may"	"the_may_find"	"may_find_to"	"ε"	"IN"	"DT"	"NN"	"MD"	"VB"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"all"	"research"	"within"	"the"	"united_states"	"contract"	"for"	"sponsor"	"cosponsor"	"or"	"authorize"	"under"	"authority"	"of_this"	"act"	"shall"	"be"	"provide"	"for"	"in"	"such"	"manner"	"that"	"all"	"information"	"use"	"product"	"process"	"patent"	"and"	"development"	"result"	"from"	"such"	"research"	"develop"	"by"	"government"	"expenditure"	"will"	"with"	"such"	"exception"	"limitation"	"if"	"any"	"as"	"the"	"secretary_of_the_interior"	"may"	"find"	"to"	"be"	"necessary"	"in"	"the"	"interest"	"of"	"national"	"defense"	"be"	"available"	"to"	"the"	"general"	"public"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"may"	"∅"	"dispose"	"∅_the"	"the_may"	"may_dispose"	"∅_∅_the"	"∅_the_may"	"the_may_dispose"	"may_dispose_of"	"ε"	"ε"	"DT"	"NN"	"MD"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"secretary_of_the_interior"	"may"	"dispose"	"of"	"water"	"and"	"by-product"	"result"	"from"	"his"	"operations"	"under"	"this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"shall"	"∅"	"make"	"∅_the"	"the_shall"	"shall_make"	"∅_∅_the"	"∅_the_shall"	"the_shall_make"	"shall_make_report"	"ε"	"ε"	"DT"	"NN"	"MD"	"NNS"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"secretary_of_the_interior"	"shall"	"make"	"report"	"to"	"the"	"president"	"and"	"the"	"congress"	"at"	"the"	"beginning"	"of"	"each"	"regular"	"session"	"of"	"the"	"action"	"taken"	"or"	"institute"	"by"	"him"	"under"	"the"	"provision"	"of_this"	"act"	"and"	"of"	"prospective"	"action"	"during"	"the"	"ensuing"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"may"	"∅"	"issue"	"∅_the"	"the_may"	"may_issue"	"∅_∅_the"	"∅_the_may"	"the_may_issue"	"may_issue_rule"	"ε"	"ε"	"DT"	"NN"	"MD"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"secretary_of_the_interior"	"may"	"issue"	"rule"	"and"	"regulation"	"to"	"effectuate"	"the"	"purpose"	"of_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"under"	"of"	"this"	"of_the"	"the_under"	"under_this"	"authority_of_the"	"of_the_under"	"the_under_this"	"under_this_joint_resolution"	"NN"	"IN"	"DT"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"of"	"the"	"secretary_of_the_interior"	"under"	"this"	"joint_resolution"	"to"	"construct"	"operate"	"and"	"maintain"	"demonstration"	"plant"	"shall"	"terminate"	"upon"	"the"	"expiration"	"of"	"twelve"	"year"	"after"	"the"	"date"	"on"	"which"	"this"	"joint_resolution"	"is"	"approve"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"is"	"that"	"hereby"	"that_the"	"the_is"	"is_hereby"	",_that_the"	"that_the_is"	"the_is_hereby"	"is_hereby_authorize"	"ε"	"DT"	"DT"	"NN"	"VBZ"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"it"	"enact"	"by"	"the"	"senate"	"and"	"house_of_representatives"	"the"	"united_states_of_america"	"in"	"congress"	"assemble"	"that"	"the"	"secretary_of_the_interior"	"is"	"hereby"	"authorize"	"and"	"direct"	"to"	"make"	"or"	"cause"	"to"	"be"	"make"	"a"	"study"	"cover"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"or"	"∅"	"any"	"∅_the"	"the_or"	"or_any"	"∅_∅_the"	"∅_the_or"	"the_or_any"	"or_any_duly"	"ε"	"ε"	"DT"	"NN"	"CC"	"JJ"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"secretary_of_the_interior"	"or"	"any"	"duly"	"authorized"	"representative"	"shall"	"be"	"entitle"	"to"	"admission"	"to"	"and"	"to"	"require"	"report"	"from"	"the"	"operator"	"of"	"any"	"metal"	"or"	"nonmetallic"	"mine"	"which"	"be"	"in"	"a"	"state"	"exclude"	"any"	"coal"	"or"	"lignite"	"mine"	"the"	"product"	"of_which"	"regularly"	"enter"	"commerce"	"or"	"the"	"operation"	"of_which"	"substantially"	"affect"	"commerce"	"for"	"the"	"purpose"	"of"	"gather"	"datum"	"and"	"information"	"necessary"	"for"	"the"	"study"	"authorize"	"in"	"the"	"first"	"section"	"of_this"	"act"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
