"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"
"2:39:01::"	","	"more"	"though"	"interested"	"though_,"	",_more"	"more_interested"	",_though_,"	"though_,_more"	",_more_interested"	"more_interested_in"	"ε"	"RB"	"ε"	"VB"	"RBR"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"county"	"seem"	"more"	"interested"	"in"	"those"	"people"	"who"	"do"	"n't"	"even"	"try"	"those"	"who"	"sit"	"and"	"draw"	"welfare"	"checks"	"and"	"line_up"	"for"	"surplus"	"food"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"himself"	"uncertain"	"person"	"on"	"person_himself"	"himself_uncertain"	"uncertain_on"	"even_person_himself"	"person_himself_uncertain"	"himself_uncertain_on"	"uncertain_on_this"	"RB"	"NNP"	"PRP"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"even"	"himself"	"seem"	"uncertain"	"on"	"this"	"score"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"it"	"incredible"	"make"	"and"	"make_it"	"it_incredible"	"incredible_and"	"that_make_it"	"make_it_incredible"	"it_incredible_and"	"incredible_and_irrelevant"	"IN"	"VB"	"VB"	"VB"	"JJ"	"CC"	"JJ"	"this"	"be"	"exactly"	"the"	"risk"	"we"	"run"	"when"	"we"	"assume"	"as"	"we"	"too"	"often"	"do"	"that"	"we"	"can"	"continue"	"to"	"preach"	"the"	"gospel"	"in"	"a"	"form"	"that"	"it"	"incredible"	"and"	"irrelevant"	"to"	"cultured"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"1848"	"to"	"of"	"be"	"of_1848"	"1848_to"	"to_be"	"boston_of_1848"	"of_1848_to"	"1848_to_be"	"to_be_the"	"NNP"	"IN"	"CD"	"VB"	"TO"	"VB"	"DT"	"0"	"0"	"0"	"0"	"our"	"endeavor"	"to"	"capture"	"even"	"a"	"faint"	"sense"	"of"	"how"	"strenuous"	"be"	"the"	"fight"	"is"	"muffle"	"by"	"our"	"indifference"	"to"	"the"	"issue"	"which"	"in"	"boston"	"of"	"seem"	"to"	"be"	"the"	"central"	"hope"	"of"	"its"	"christian"	"survival"	"that"	"of"	"the"	"literal"	"factual"	"historicity"	"of"	"the"	"miracles"	"as"	"report"	"in"	"the"	"four"	"gospels"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"boy-meets-girl"	"more"	","	"adorable"	",_boy-meets-girl"	"boy-meets-girl_more"	"more_adorable"	"that_is_,_boy-meets-girl"	",_boy-meets-girl_more"	"boy-meets-girl_more_adorable"	"more_adorable_if"	"RB"	"ε"	"NN"	"VB"	"RBR"	"JJ"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"american"	"romance"	"almost"	"nothing"	"rate"	"higher"	"than"	"what"	"the"	"movie"	"men"	"call"	"meeting"	"cute"	"that_is"	"boy-meets-girl"	"seem"	"more"	"adorable"	"if"	"it"	"does"	"n't"	"take_place"	"in"	"an"	"atmosphere"	"of"	"correct"	"and"	"acute"	"boredom"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"may"	"that"	"it"	"a"	"it_may"	"may_that"	"that_a"	",_it_may"	"it_may_that"	"may_that_a"	"that_a_certain"	"ε"	"PRP"	"MD"	"VB"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"with"	"troops"	"disperse"	"on"	"field_of_battle"	"rather"	"on"	"the"	"parade_ground"	"it"	"may"	"seem"	"that"	"a"	"certain"	"amount"	"of"	"monitor"	"is"	"automatically"	"enforce"	"by"	"the"	"line"	"of"	"communication"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"it"	"to"	"∅"	"follow"	"∅_it"	"it_to"	"to_follow"	"∅_∅_it"	"∅_it_to"	"it_to_follow"	"to_follow_that"	"ε"	"ε"	"PRP"	"VB"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"seem"	"to"	"follow"	"that"	"by_and_large"	"an"	"antagonism"	"exist"	"between"	"the"	"paleocortex"	"and"	"the"	"neocortex"	"as_far_as"	"emotional"	"reactivity"	"is"	"concern"	"and"	"that"	"the"	"balance"	"between"	"the"	"two"	"system"	"determine"	"the"	"emotional"	"responsiveness"	"of"	"the"	"organism"	
"2:39:00::"	"also"	"inadequate"	"hypothesis"	"as"	"hypothesis_also"	"also_inadequate"	"inadequate_as"	"suggestion_hypothesis_also"	"hypothesis_also_inadequate"	"also_inadequate_as"	"inadequate_as_an"	"NN"	"NN"	"RB"	"VB"	"JJ"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"a"	"hypothesis"	"also"	"seem"	"inadequate"	"as"	"an"	"explanation"	"for"	"those"	"who"	"shift"	"their"	"reactions"	"after"	"they"	"were"	"inform"	"of"	"the"	"of"	"normal"	"reactions"	"different"	"from"	"those"	"which"	"they"	"give"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"subjects"	"to"	"kohnstamm-positive"	"be"	"kohnstamm-positive_subjects"	"subjects_to"	"to_be"	"the_kohnstamm-positive_subjects"	"kohnstamm-positive_subjects_to"	"subjects_to_be"	"to_be_freer"	"DT"	"JJ"	"NNS"	"VB"	"TO"	"VB"	"JJR"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"subjects"	"seem"	"to"	"be"	"freer"	"to"	"experience"	"the"	"unusual"	"and"	"seemingly"	"impossible"	"in"	"the"	"external"	"world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:39:00::"	"only"	"like"	"broiler"	"an"	"broiler_only"	"only_like"	"like_an"	"the_broiler_only"	"broiler_only_like"	"only_like_an"	"like_an_extension"	"DT"	"NN"	"RB"	"VB"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"be"	"tired"	"he"	"have"	"his"	"business"	"worry"	"and"	"the"	"sight"	"his"	"wife"	"arrange"	"porkchop"	"in"	"the"	"broiler"	"only"	"seem"	"like"	"an"	"extension"	"of"	"a"	"boring"	"day"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
