"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"
"2:42:00::"	"cannot"	"than"	"they"	"live"	"they_cannot"	"cannot_than"	"than_live"	"``_they_cannot"	"they_cannot_than"	"cannot_than_live"	"than_live_in"	"ε"	"PRP"	"MD"	"VB"	"IN"	"VB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"they"	"do"	"than"	"live"	"in"	"dread"	"of"	"each"	"since"	"these"	"weapons"	"imply"	"the"	"of"	"such"	"grisly"	"surprise_attack"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"we"	"''"	"will"	"?"	"will_we"	"we_''"	"''_?"	"world_will_we"	"will_we_''"	"we_''_?"	"''_?_∅"	"NN"	"MD"	"PRP"	"VB"	"ε"	"ε"	"ε"	"of"	"a"	"dairy"	"truck"	"who"	"begin"	"work"	"at"	"a."	"m."	"finish"	"before"	"breakfast"	"then"	"go_out"	"and"	"grow"	"a"	"garden"	"and"	"who"	"has"	"use"	"the"	"cannery"	"to"	"save"	"and"	"feed"	"a"	"family"	"of"	"five"	"ask"	"what"	"in"	"the"	"world"	"will"	"we"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"us"	"''"	"of"	"?"	"of_us"	"us_''"	"''_?"	"any_of_us"	"of_us_''"	"us_''_?"	"''_?_∅"	"DT"	"IN"	"PRP"	"VB"	"ε"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"what"	"in"	"the"	"world"	"echo"	"those"	"come"	"with"	"the"	"beans"	"potatoes"	"the"	"will"	"any"	"of"	"us"	"do"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"research"	"summer"	"on"	"summer_to"	"to_research"	"research_on"	"last_summer_to"	"summer_to_research"	"to_research_on"	"research_on_the"	"JJ"	"NN"	"TO"	"VB"	"NN"	"IN"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"come"	"to"	"last"	"summer"	"to"	"do"	"research"	"on"	"the"	"unpublished"	"letter"	"of"	"person"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"to"	"-"	"have"	"defeat"	"have_to"	"to_-"	"-_defeat"	"we_have_to"	"have_to_-"	"to_-_defeat"	"-_defeat_communism"	"PRP"	"VBP"	"TO"	"VB"	"ε"	"VB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"much"	"having"	"been"	"say"	"the"	"question"	"remain"	"whether"	"have"	"the"	"resource"	"for"	"the"	"job"	"we"	"have"	"to"	"do"	"defeat"	"communism"	"and"	"if"	"so"	"how"	"those"	"resource"	"ought"	"to"	"be"	"use"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"has"	"it"	"person"	"well"	"person_has"	"has_it"	"it_well"	"think_person_has"	"person_has_it"	"has_it_well"	"it_well_in"	"VB"	"NNP"	"VBZ"	"VB"	"VB"	"RB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"have"	"often"	"search"	"for"	"a"	"graphic"	"way"	"of"	"impress"	"our"	"on"	"those"	"americans"	"who"	"have"	"doubt"	"and"	"i"	"think"	"person"	"has"	"do"	"it"	"well"	"in"	"his"	"new"	"book"	"american_might_and_soviet_myth"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:01::"	"states"	"this"	"their"	"in_order_to"	"their_states"	"states_this"	"this_in_order_to"	"of_their_states"	"their_states_this"	"states_this_in_order_to"	"this_in_order_to_keep"	"IN"	"PRP$"	"NNS"	"VB"	"DT"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"fact"	"that"	"the"	"americans"	"uphold"	"the"	"sovereignty"	"of"	"their"	"states"	"do"	"this"	"in_order_to"	"keep"	"many_of"	"their"	"people"	"more"	"securely"	"in"	"slavery"	"the"	"antithesis"	"of"	"individual"	"liberty"	"make"	"the"	"conflict"	"grimmer"	"and"	"the"	"greater"	
"2:42:00::"	"to"	"with"	"have"	"the"	"have_to"	"to_with"	"with_the"	"identity_have_to"	"have_to_with"	"to_with_the"	"with_the_difference"	"NN"	"VB"	"VB"	"VB"	"VB"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"second"	"timely"	"part"	"of_this"	"sketch"	"of"	"and"	"the"	"search"	"for"	"identity"	"have"	"to"	"do"	"with"	"the"	"difference"	"between"	"good"	"and"	"enduring"	"literary_work"	"and"	"the"	"ephemeral"	"mass_culture"	"product"	"of"	"today"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:04::"	"to"	"this"	"∅"	"we"	"∅_to"	"to_this"	"this_we"	"∅_∅_to"	"∅_to_this"	"to_this_we"	"this_we_must"	"ε"	"ε"	"TO"	"VB"	"DT"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"do"	"this"	"we"	"must"	"first"	"show"	"that"	"every"	"line"	"which"	"meet"	"g"	"in"	"a"	"point"	"p"	"meet"	"its"	"image"	"at"	"p"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:04::"	"never"	"this"	"'ve"	"before"	"'ve_never"	"never_this"	"this_before"	"i_'ve_never"	"'ve_never_this"	"never_this_before"	"this_before_''"	"PRP"	"VBP"	"RB"	"VB"	"DT"	"RB"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"i"	"do"	"this"	"before"	"she"	"say"	"later"	"when"	"he"	"was"	"arrange"	"himself"	"to"	"leave"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
