"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"	"A82"	"A83"	"A84"	"A85"	"A86"	"A87"	"A88"	"A89"	"A90"	"A91"	"A92"	"A93"	"A94"	"A95"	"A96"	"A97"	"A98"	"A99"	"A100"	"A101"
"2:41:00::"	"was"	"before"	"presentation"	"several"	"presentation_was"	"was_before"	"before_several"	"the_presentation_was"	"presentation_was_before"	"was_before_several"	"before_several_hundred"	"DT"	"NN"	"VBD"	"VB"	"IN"	"JJ"	"CD"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"was"	"make"	"before"	"several"	"hundred"	"persons"	"at"	"the"	"annual"	"meeting"	"of"	"the"	"league"	"at"	"olney_hall"	"college"	"of"	"marin"	"kentfield"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:00::"	"be"	"ready"	"to"	"for"	"to_be"	"be_ready"	"ready_for"	"were_to_be"	"to_be_ready"	"be_ready_for"	"ready_for_manned"	"VBD"	"TO"	"VB"	"VB"	"JJ"	"IN"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"about"	"of"	"the"	"special"	"rocket-bombs"	"were"	"to"	"be"	"make"	"ready"	"for"	"manned"	"flight"	"with"	"an"	"explosive"	"warhead"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"to"	"several"	"go_on"	"test"	"go_on_to"	"to_several"	"several_test"	"fiedler_go_on_to"	"go_on_to_several"	"to_several_test"	"several_test_flights"	"NNP"	"VB"	"TO"	"VB"	"JJ"	"NN"	"NNS"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"fiedler"	"to"	"make"	"several"	"test"	"flights"	"before"	"german"	"pilots"	"take_over"	"the"	"reichenberg"	"missiles"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:36:01::"	"busy"	"newer"	"keep"	"nuclear_weapons"	"keep_busy"	"busy_newer"	"newer_nuclear_weapons"	"east_keep_busy"	"keep_busy_newer"	"busy_newer_nuclear_weapons"	"newer_nuclear_weapons_to"	"NNP"	"VB"	"JJ"	"VB"	"JJR"	"NN"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"leading"	"nations"	"of"	"the"	"west"	"of"	"the"	"east"	"keep"	"busy"	"make"	"newer"	"nuclear_weapons"	"to"	"defend"	"themselves"	"in"	"the"	"event"	"the"	"constantly"	"threatening"	"nuclear"	"war"	"should"	"break_out"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"to"	"the"	"obligated"	"people"	"obligated_to"	"to_the"	"the_people"	"feel_obligated_to"	"obligated_to_the"	"to_the_people"	"the_people_adequately"	"VB"	"JJ"	"TO"	"VB"	"DT"	"NNS"	"RB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"governments"	"apparently"	"do"	"feel"	"obligated"	"to"	"make"	"the"	"people"	"adequately"	"aware_of"	"this"	"danger"	"therefore"	"we"	"need"	"guardians"	"to"	"demonstrate"	"against"	"the"	"ghastly"	"stupidity"	"of"	"nuclear_weapons"	"and"	"jolt"	"the"	"people"	"out"	"of"	"their"	"complacency"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"he"	"an"	"that"	"agreement"	"that_he"	"he_an"	"an_agreement"	"jury_that_he"	"that_he_an"	"he_an_agreement"	"an_agreement_in"	"NN"	"IN"	"PRP"	"VB"	"DT"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"lee"	"say"	"he"	"had"	"the"	"jury"	"that"	"he"	"make"	"an"	"agreement"	"in"	"april"	"with"	"stein"	"to"	"supply"	"and"	"supervise"	"janitors"	"in"	"mccormick_place"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"company"	"to"	"liquor"	"stein"	"liquor_company"	"company_to"	"to_stein"	"the_liquor_company"	"liquor_company_to"	"company_to_stein"	"to_stein_in"	"DT"	"NN"	"NN"	"VB"	"TO"	"NNP"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"government"	"attorneys"	"leavitt"	"say"	"have"	"question"	"him"	"closely"	"about"	"five"	"or"	"six"	"total"	"about"	"which"	"the"	"liquor"	"company"	"make"	"to"	"stein"	"in"	"the"	"last"	"year"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"which"	"acceptance"	"generate"	"of_this"	"generate_which"	"which_acceptance"	"acceptance_of_this"	"been_generate_which"	"generate_which_acceptance"	"which_acceptance_of_this"	"acceptance_of_this_law"	"VBN"	"VB"	"WDT"	"VB"	"NN"	"RB"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"the"	"public"	"atmosphere"	"has"	"been"	"generate"	"which"	"make"	"acceptance"	"of_this"	"law"	"a"	"stem"	"from"	"the"	"disrepute"	"into"	"which"	"the"	"labor_movement"	"has"	"fall"	"as"	"a"	"result"	"of"	"mr._mcclellan"	"hearings"	"into"	"corruption"	"in"	"labor-management"	"relations"	"and"	"later"	"into"	"the"	"jurisdictional"	"squabbles"	"that"	"plague"	"industrial"	"relations"	"at"	"the"	"missile"	"sites"	
"2:30:00::"	"and"	"rich"	"run"	"the"	"run_and"	"and_rich"	"rich_the"	"rivers_run_and"	"run_and_rich"	"and_rich_the"	"rich_the_bottom"	"NNS"	"VB"	"CC"	"VB"	"NN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"this"	"did"	"not"	"happen"	"in"	"counties"	"north_georgia"	"where"	"the"	"rivers"	"run"	"and"	"make"	"rich"	"the"	"bottom"	"land"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:40:01::"	"to"	"any"	"supposed"	"money"	"supposed_to"	"to_any"	"any_money"	"not_supposed_to"	"supposed_to_any"	"to_any_money"	"any_money_."	"RB"	"JJ"	"TO"	"VB"	"DT"	"NN"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"but"	"dekalb"	"citizens"	"those"	"who"	"use"	"the"	"facilities"	"of"	"cannery"	"say"	"the"	"cannery"	"be"	"not"	"supposed"	"to"	"make"	"any"	"money"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"jesus"	"three"	"∅"	"things"	"∅_jesus"	"jesus_three"	"three_things"	"∅_∅_jesus"	"∅_jesus_three"	"jesus_three_things"	"three_things_clear"	"ε"	"ε"	"NNP"	"VB"	"CD"	"NNS"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"make"	"three"	"things"	"clear"	"about"	"forgiveness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:41:00::"	"still"	"use"	"we"	"of"	"we_still"	"still_use"	"use_of"	"although_we_still"	"we_still_use"	"still_use_of"	"use_of_this"	"IN"	"PRP"	"RB"	"VB"	"NN"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"as"	"a"	"result"	"we"	"still"	"make"	"use"	"of"	"this"	"distinction"	"there"	"be"	"much"	"confusion"	"as_to"	"the"	"meaning"	"of"	"the"	"basic"	"term"	"employ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"that"	"it"	"form"	"seem"	"form_that"	"that_it"	"it_seem"	"a_form_that"	"form_that_it"	"that_it_seem"	"it_seem_incredible"	"DT"	"NN"	"IN"	"VB"	"VB"	"VB"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"and"	"yet"	"this"	"be"	"exactly"	"the"	"risk"	"we"	"run"	"when"	"we"	"assume"	"as"	"we"	"too"	"do"	"that"	"we"	"can"	"continue"	"to"	"preach"	"the"	"gospel"	"in"	"a"	"form"	"that"	"make"	"it"	"seem"	"incredible"	"and"	"irrelevant"	"to"	"cultured"	"man"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"2:30:00::"	"what"	"this"	"∅"	"long"	"∅_what"	"what_this"	"this_long"	"∅_∅_what"	"∅_what_this"	"what_this_long"	"this_long_and"	"ε"	"ε"	"WP"	"VB"	"DT"	"JJ"	"CC"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"make"	"this"	"long"	"and"	"diverse"	"tradition"	"essentially"	"one"	"be"	"that"	"those"	"who"	"have"	"belong_to"	"it"	"have"	"be"	"profoundly"	"in_earnest"	"about"	"be"	"modern"	"man"	"in"	"a"	"distinctively"	"modern_world"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
