"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"
"1:04:00::"	"'s"	"and"	"person"	"therapeutic"	"person_'s"	"'s_and"	"and_therapeutic"	"∅_person_'s"	"person_'s_and"	"'s_and_therapeutic"	"and_therapeutic_work"	"ε"	"NNP"	"POS"	"NN"	"CC"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"experiment"	"and"	"therapeutic"	"work"	"lie_in"	"this"	"area"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"some"	"be"	"∅"	"composed"	"∅_some"	"some_be"	"be_composed"	"∅_∅_some"	"∅_some_be"	"some_be_composed"	"be_composed_of"	"ε"	"ε"	"JJ"	"NN"	"VB"	"JJ"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"experiment"	"be"	"composed"	"of"	"repetition"	"of"	"independent"	"trial"	"each"	"with"	"two"	"outcome"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"an"	"consist_of"	"that"	"a"	"that_an"	"an_consist_of"	"consist_of_a"	"suppose_that_an"	"that_an_consist_of"	"an_consist_of_a"	"consist_of_a_number"	"VB"	"IN"	"DT"	"NN"	"VB"	"JJ"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"more"	"generally"	"that"	"an"	"experiment"	"consist_of"	"a"	"number"	"of"	"independent"	"trial"	"that"	"each"	"trial"	"result"	"in"	"either"	"a"	"success"	"or"	"a"	"non"	"success"	"failure"	"and"	"that"	"the"	"probability"	"of"	"success"	"remain"	"constant"	"from"	"trial"	"to"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"∅"	"are"	"∅"	"often"	"∅_∅"	"∅_are"	"are_often"	"∅_∅_∅"	"∅_∅_are"	"∅_are_often"	"are_often_compose"	"ε"	"ε"	"ε"	"NN"	"VBP"	"RB"	"VB"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"are"	"often"	"compose"	"of"	"several"	"identical"	"trial"	"and"	"sometimes"	"experiment"	"themselves"	"are"	"repeat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"sometimes"	"themselves"	"and"	"are"	"and_sometimes"	"sometimes_themselves"	"themselves_are"	",_and_sometimes"	"and_sometimes_themselves"	"sometimes_themselves_are"	"themselves_are_repeat"	"ε"	"CC"	"RB"	"NN"	"PRP"	"VBP"	"VB"	"are"	"often"	"compose"	"of"	"several"	"identical"	"trial"	"and"	"experiment"	"themselves"	"are"	"repeat"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"an"	"to"	"for"	"qualify"	"for_an"	"an_to"	"to_qualify"	"∅_for_an"	"for_an_to"	"an_to_qualify"	"to_qualify_as"	"ε"	"IN"	"DT"	"NN"	"TO"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"an"	"experiment"	"to"	"qualify"	"as"	"a"	"binomial"	"experiment"	"it"	"must"	"have"	"four"	"property"	"there"	"must"	"be"	"a"	"fixed"	"number"	"of"	"trial"	"each"	"trial"	"must"	"result"	"in"	"a"	"success"	"or"	"a"	"failure"	"a"	"binomial"	"trial"	"all"	"trial"	"must"	"have"	"identical"	"probability"	"of"	"success"	"the"	"trial"	"must"	"be"	"independent"	"of"	"each"	
"1:04:00::"	"binomial"	","	"a"	"it"	"a_binomial"	"binomial_,"	",_it"	"as_a_binomial"	"a_binomial_,"	"binomial_,_it"	",_it_must"	"IN"	"DT"	"JJ"	"NN"	"ε"	"PRP"	"MD"	"0"	"0"	"0"	"0"	"0"	"an"	"experiment"	"to"	"as"	"a"	"binomial"	"experiment"	"it"	"must"	"have"	"four"	"property"	"there"	"must"	"be"	"a"	"fixed"	"number"	"of"	"trial"	"each"	"trial"	"must"	"result"	"in"	"a"	"success"	"or"	"a"	"failure"	"a"	"binomial"	"trial"	"all"	"trial"	"must"	"have"	"identical"	"probability"	"of"	"success"	"the"	"trial"	"must"	"be"	"independent"	"of"	"each"	"0"	"0"	"0"	"0"	
"1:04:00::"	"the"	"can"	"of"	"be"	"of_the"	"the_can"	"can_be"	"outcome_of_the"	"of_the_can"	"the_can_be"	"can_be_compute"	"NN"	"IN"	"DT"	"NN"	"MD"	"VB"	"VB"	"mean"	"that"	"the"	"probability"	"for"	"each"	"outcome"	"of"	"can"	"be"	"compute"	"by"	"multiply"	"together"	"the"	"probability"	"of"	"the"	"outcome"	"of"	"the"	"single"	"binomial"	"trial"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"binomial"	"result"	"n-trial"	"in"	"n-trial_binomial"	"binomial_result"	"result_in"	"an_n-trial_binomial"	"n-trial_binomial_result"	"binomial_result_in"	"result_in_some"	"DT"	"NN"	"JJ"	"NN"	"VB"	"VB"	"DT"	"0"	"0"	"0"	"0"	"0"	"0"	"each"	"performance"	"an"	"n-trial"	"binomial"	"experiment"	"result"	"in"	"some"	"whole_number"	"from"	"through"	"n"	"as"	"the"	"value"	"of"	"the"	"random_variable"	"x"	"where"	"f"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:04:00::"	"binomial"	"consist_of"	"a"	"*"	"a_binomial"	"binomial_consist_of"	"consist_of_*"	"∅_a_binomial"	"a_binomial_consist_of"	"binomial_consist_of_*"	"consist_of_*_*"	"ε"	"DT"	"JJ"	"NN"	"VB"	"ε"	"ε"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"binomial"	"experiment"	"consist_of"	"f"	"independent"	"binomial"	"trial"	"all"	"with"	"the"	"same"	"probability"	"f"	"of"	"yield"	"a"	"success"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
