"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"	"A10"	"A11"	"A12"	"A13"	"A14"	"A15"	"A16"	"A17"	"A18"	"A19"	"A20"	"A21"	"A22"	"A23"	"A24"	"A25"	"A26"	"A27"	"A28"	"A29"	"A30"	"A31"	"A32"	"A33"	"A34"	"A35"	"A36"	"A37"	"A38"	"A39"	"A40"	"A41"	"A42"	"A43"	"A44"	"A45"	"A46"	"A47"	"A48"	"A49"	"A50"	"A51"	"A52"	"A53"	"A54"	"A55"	"A56"	"A57"	"A58"	"A59"	"A60"	"A61"	"A62"	"A63"	"A64"	"A65"	"A66"	"A67"	"A68"	"A69"	"A70"	"A71"	"A72"	"A73"	"A74"	"A75"	"A76"	"A77"	"A78"	"A79"	"A80"	"A81"
"1:14:00::"	"the"	"."	"engulf"	"∅"	"engulf_the"	"the_."	"._∅"	"soon_engulf_the"	"engulf_the_."	"the_._∅"	"._∅_∅"	"RB"	"VB"	"DT"	"NN"	"ε"	"ε"	"ε"	"play"	"unfold"	"however"	"the"	"audience"	"is"	"subtly"	"bring"	"into"	"the"	"grip"	"of"	"an"	"awful"	"evil"	"which"	"grow"	"with"	"ominously"	"gather"	"power"	"and"	"soon"	"engulf"	"the"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"this"	"and"	"come_upon"	"work"	"come_upon_this"	"this_and"	"and_work"	"that_come_upon_this"	"come_upon_this_and"	"this_and_work"	"and_work_within"	"IN"	"VB"	"DT"	"NN"	"CC"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"if"	"one"	"ask"	"about"	"this"	"play"	"it"	"be"	"that"	"come_upon"	"this"	"community"	"and"	"work"	"within"	"it"	"with"	"such"	"terrible"	"power"	"there"	"be"	"no"	"better"	"answer"	"to"	"give"	"than"	"spirit"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"and"	"be"	"spirit"	"likely"	"spirit_and"	"and_be"	"be_likely"	"between_spirit_and"	"spirit_and_be"	"and_be_likely"	"be_likely_to"	"IN"	"NN"	"CC"	"NN"	"VB"	"JJ"	"TO"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"search"	"for"	"clue"	"which"	"might"	"lead"	"us"	"to"	"a"	"fresh"	"apprehension"	"of"	"the"	"reality"	"of"	"spirit"	"the"	"close"	"between"	"spirit"	"and"	"community"	"be"	"likely"	"to"	"prove"	"the"	"most"	"fruitful"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"in"	"be"	"spirit"	"its"	"spirit_in"	"in_be"	"be_its"	"the_spirit_in"	"spirit_in_be"	"in_be_its"	"be_its_givenness"	"DT"	"NN"	"IN"	"NN"	"VB"	"PRP$"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"one"	"characteristic"	"the"	"spirit"	"in"	"community"	"be"	"its"	"givenness"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:00::"	"rural"	"as"	"a"	"an"	"a_rural"	"rural_as"	"as_an"	"consider_a_rural"	"a_rural_as"	"rural_as_an"	"as_an_assemblage"	"VB"	"DT"	"JJ"	"NN"	"IN"	"DT"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"we"	"a"	"rural"	"community"	"as"	"an"	"assemblage"	"of"	"inhabited"	"dwelling"	"whose"	"configuration"	"is"	"determine"	"by"	"the"	"location"	"and"	"size"	"of"	"the"	"arable"	"land_site"	"necessary"	"for"	"family"	"subsistence"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:14:03::"	"christian"	"of"	"jerusalem"	"the"	"jerusalem_christian"	"christian_of"	"of_the"	"the_jerusalem_christian"	"jerusalem_christian_of"	"christian_of_the"	"of_the_apostolic"	"DT"	"NN"	"JJ"	"NN"	"IN"	"DT"	"JJ"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"derive"	"utopian"	"from"	"the"	"jerusalem"	"christian"	"community"	"of"	"the"	"apostolic"	"age"	"or"	"from"	"its"	"medieval"	"successor"	"in"	"spirit"	"the"	"monastic"	"community"	"be"	"with"	"an"	"appropriate"	"shift"	"of"	"adjective"	"misleading"	"in"	"the"	"same"	"way"	"as"	"to"	"derive"	"it"	"from"	"plato"	"republic"	
"1:14:03::"	"monastic"	","	"the"	"be"	"the_monastic"	"monastic_,"	",_be"	",_the_monastic"	"the_monastic_,"	"monastic_,_be"	",_be_with"	"ε"	"DT"	"JJ"	"NN"	"ε"	"VB"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"to"	"derive"	"utopian"	"communism"	"from"	"the"	"jerusalem"	"christian"	"community"	"of"	"the"	"apostolic"	"age"	"or"	"from"	"its"	"medieval"	"in"	"spirit"	"the"	"monastic"	"community"	"be"	"with"	"an"	"appropriate"	"shift"	"of"	"adjective"	"misleading"	"in"	"the"	"same"	"way"	"as"	"to"	"derive"	"it"	"from"	"plato"	"republic"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"natural"	"of"	"the"	"all"	"the_natural"	"natural_of"	"of_all"	"of_the_natural"	"the_natural_of"	"natural_of_all"	"of_all_possession"	"IN"	"DT"	"JJ"	"NN"	"IN"	"DT"	"WDT"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"finally"	"the"	"conception"	"the"	"natural"	"community"	"of"	"all"	"possession"	"originate"	"with"	"the"	"stoic"	"was"	"firmly"	"fix"	"in"	"a"	"tradition"	"by"	"person"	"time"	"although"	"it"	"was"	"not"	"accept"	"by"	"all"	"the"	"theologian"	"philosopher"	"of"	"the"	"middle_ages"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"because"	"not"	"∅"	"severalty"	"∅_because"	"because_not"	"not_severalty"	"∅_∅_because"	"∅_because_not"	"because_not_severalty"	"not_severalty_of"	"ε"	"ε"	"IN"	"NN"	"RB"	"NN"	"IN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"community"	"not"	"severalty"	"of"	"property"	"be"	"the"	"law_of_nature"	"no"	"man"	"can"	"assert"	"an"	"absolutely"	"unalterable"	"right"	"to"	"what"	"be"	"his"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"1:21:00::"	"which"	"of"	"in"	"possession"	"in_which"	"which_of"	"of_possession"	"conception_in_which"	"in_which_of"	"which_of_possession"	"of_possession_living"	"NN"	"RB"	"RB"	"NN"	"IN"	"CC"	"NN"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"in"	"all"	"the"	"respect"	"just"	"indicate"	"communism"	"differ"	"from"	"previous"	"conception"	"in"	"which"	"community"	"of"	"possession"	"living"	"play"	"a"	"role"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
