drifting	37	9
better	22	6
parade_ground	8	18
tractarian	13	31
overflow	29	11
train	0	5
previously	31	3
qualified	8	12
phrase	5	7
plato	39	12
exclude	40	1
shake	80	1
gray	5	23
facet	0	14
hence	16	60
irish	18	98
exhaust	6	39
oxygen	74	63
magnetic_field	7	5
new	30	34
bring	22	29
exclaim	14	33
steep	14	14
go_on	12	20
u.s.	5	2
preceding	27	9
attend	100	37
network	22	36
dice	29	19
instantaneous	24	1
dislike	25	1
contribute	9	28
enjoy	38	21
dominant	7	11
exactly	10	37
janissary	9	1
connection	41	22
radiation	8	18
forgive	4	8
full-clad	16	15
sentence	0	17
land	21	14
composition	40	7
tennessee	55	16
peck	30	10
write	15	40
cortex	29	1
proximate	8	5
put	27	21
ace	26	16
proton_magnetic_resonance	0	13
protestantism	9	14
parent	6	16
margin	3	11
fineness	14	5
rural	2	25
adjective	28	13
many	0	18
viewpoint	14	30
way	58	49
4	20	18
insufficient	19	24
by_no_means	6	18
echo	4	13
reach	4	36
differ	7	42
field	13	23
kinship	26	45
high_school	5	12
purely	14	11
result	26	29
reconcile	34	12
outcome	20	24
write_of	1	70
safe	5	9
long	42	27
country	9	10
request	50	67
complex	16	14
draw	16	50
view_as	7	10
essential	7	8
tomorrow	6	15
sun	5	16
night	7	14
law_of_nature	7	13
surprising	2	35
estimate	12	19
skim	3	19
aqueous	7	4
progressively	8	5
interfere	26	3
love	3	7
expression	4	3
invite	27	6
stay	28	20
neurosis	7	51
get	8	25
successor	16	25
cross	12	29
assure	19	27
include	55	69
read	6	31
comic_book	24	14
failure	33	17
laity	99	18
happen	2	15
gentle	7	23
urge	1	50
offer	103	102
relinquish	10	20
issue	5	10
soviet	5	5
packing	17	4
ahead	24	1
sometimes	7	23
segment	20	24
extra	13	12
clergyman	98	19
licensed	14	2
feature	38	23
million	15	10
muffle	14	38
completely	41	31
alter	29	34
maneuver	2	23
about	7	8
guy	3	19
alone	9	5
sheet	42	65
conception	10	35
distinction	8	13
ultimate	0	46
beat	8	11
other	48	29
come_upon	8	20
appear	12	32
agree	33	48
importance	14	26
cleric	27	1
ingredient	0	25
message	37	20
tension	21	29
capture	2	50
clergy	2	26
mythological	44	14
english	42	26
know	49	44
fewer	32	5
all_of	14	2
alerting	53	4
2	18	0
benefit	10	9
express	25	2
all	27	21
individual	7	23
record	8	14
nowhere	0	9
meet	33	40
point	33	22
following	32	5
follow	21	46
venerable	4	41
hook_up	3	9
education	12	9
compute	12	14
spoken_language	12	14
nightmarish	13	19
imply	24	28
jolt	26	7
repetition	4	8
troops	11	31
also	26	25
experimental	7	51
allow	33	84
emasculate	3	3
addition	29	6
proud	3	13
emotion	29	46
forget	24	36
short	8	10
implication	3	14
daily	0	117
anachronistically	5	5
integration	7	1
encourage	21	19
essay	3	16
promise	6	13
halt	44	22
suit	13	15
be	78	77
succeed	1	21
lean	6	53
resent	14	6
tempt	1	25
merely	23	39
detect	3	15
universally	13	4
hurtle	13	13
morality	9	10
reason	32	19
refer	15	5
in_theory	24	3
discuss	14	31
carry_out	47	23
diminish	22	7
uphold	5	29
bear	23	48
phenomenon	27	10
enter	10	32
round	4	22
german	29	14
wage	6	6
source	19	4
construction	26	26
hair	16	6
now	14	27
regulation	11	8
driver	16	1
ornament	29	17
catholicism	6	10
preparation	2	6
precision	35	9
formula	3	15
characteristic	27	10
work	41	34
single	23	16
queen	8	22
agent	26	15
second-rate	11	3
run	12	35
name	1	6
extend	7	38
sense_of_purpose	7	4
line_up	21	4
honest	15	4
aggravate	4	10
perhaps	15	35
start	18	13
sympathetic	24	16
use	29	30
amuse	21	19
endorse	6	10
years	13	1
constancy	0	15
gather	19	7
kind	23	20
latent	2	40
irrelevant	33	4
achievement	32	1
sunday	13	7
demonstrate	18	15
honored	29	38
letter	11	3
different	11	20
man	36	29
linguistic_unit	0	36
cortico-hypothalamic	7	18
represent	23	29
lie_in	7	26
associate	27	51
paradox	38	2
apostolic	10	31
doubt	16	14
in_fact	18	17
three	39	74
differentiate	1	10
rush	9	8
most	33	28
somatic	21	9
resignation	12	7
lonely	3	17
soon	23	4
quite	8	17
electron	4	14
crystal	13	2
make	40	45
jerusalem	5	36
one	60	56
gracious	39	5
design	3	33
knowledge	22	1
transmitting	16	14
absence	13	8
originate	9	26
write_on	0	12
come_out	3	2
popularly	13	5
vatican	28	3
wonder	11	11
possession	15	32
subsistence	26	1
arrest	6	26
counter	5	2
nod	79	2
part	13	30
low	5	71
perennial	31	16
generate	5	42
surface	10	1
supervise	18	4
community	26	39
accept	25	34
atom	76	13
common	1	4
appropriate	24	16
zero	19	1
theology	44	14
location	111	103
carefully	23	12
mobcap	46	1
state	36	22
sample	16	20
indicate	31	22
wholly	11	17
discover	2	10
however	11	45
research	7	7
by_and_large	4	30
configuration	11	16
beach	10	12
membership	12	4
hold	33	2
probe	9	23
exploration	36	14
activity	19	21
take_place	24	19
early	2	26
wish	41	41
unobtainable	2	19
reclaim	3	18
major	0	17
elicit	41	17
novel	9	24
anti-catholicism	6	1
fall_back	3	7
centered	15	62
evidence	4	26
move	1	14
tend	25	18
emerge	0	21
percent	31	19
alteration	30	3
theoretical	0	24
catholic_church	109	8
mirror	8	14
increase	1	43
investigate	10	34
take_up	16	31
mathematics	38	6
mass_culture	26	4
extent	31	24
inquiry	8	51
actual	13	19
syria	3	12
inadequately	16	18
arable	21	6
randomly	55	22
in_operation	79	37
christian	105	39
finish	11	31
no	4	14
before	21	21
help	16	44
likewise	2	5
first	3	16
system	78	39
mother	11	30
compose	2	11
presence	11	15
sleep	27	7
unmixed	5	2
create	26	3
catholic	74	115
narrow	26	10
total	13	16
middle_ages	34	1
method	14	1
inner	27	23
immigrant	21	96
delegate	32	8
several	4	9
demand	10	42
nebraska	10	4
control	32	28
magnetic_moment	0	18
obtain	36	22
upset	6	25
concern	28	26
suggested	7	24
plumpness	18	1
litter	17	23
manage	0	25
home	1	2
content	1	47
prurient	30	8
here	16	31
multiply	14	12
salient	3	17
identical	43	12
holiday	26	14
synchrony	47	11
tired	1	26
pain	64	6
dispense	12	20
lead	26	29
quote	3	32
advance	3	4
gross	0	7
edge	7	15
grow	16	25
oppose	2	9
peculiarity	15	6
fact	9	24
essentially	6	21
tangential	9	28
dazzle	12	9
lower	73	14
spirit_world	26	8
restatement	13	26
epitomize	10	15
so	25	18
asymmetrically	52	25
inhibitory	35	5
contrast	0	12
unpublished	10	4
amount	15	11
chapter	14	19
utopia	13	39
focus	25	1
priest	35	81
listen	56	20
receiving	18	12
unintended	64	7
have	43	47
gradual	10	24
widen	26	8
insidiously	6	5
rate	4	29
target_practice	3	18
discussion	2	23
spontaneously	10	20
modernity	5	9
material	26	25
socialism	16	11
comment	20	34
border_on	5	17
repeat	11	1
condition	37	24
bomb_shelter	28	18
line	22	17
trigonal	2	4
just	2	25
aspect	35	14
trust	28	3
favor	1	15
chance	16	4
disciplined	26	16
aristocracy	1	31
call_for	8	43
thought	32	21
frequent	3	18
devise	18	6
level	24	24
wakefulness	28	4
cycle	29	1
decide	20	10
fix	15	20
stature	14	5
vertebrate	5	25
tell	38	25
sphere	10	7
justify	35	24
5	20	15
feel	19	32
central	20	38
overestimate	12	18
sadly	4	10
marksman	14	30
very	27	29
ratio	19	2
inhabited	8	19
for_example	33	11
set_forth	31	7
keep	14	23
testify	1	21
change	29	29
infectious_hepatitis	0	4
more	63	38
witch	19	2
statement	67	50
crash	3	3
ordered	57	19
west	17	10
freedom	19	27
