"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"1:14:00::"	"X"	"X"	"the"	"far"	"DT"	"RB"	"VB"	"jury"	"NN"
"1:14:00::"	"september"	"october"	"term"	"had"	"NN"	"VBD"	"VBN"	"jury"	"NN"
"1:14:00::"	"was"	"receive"	"the"	"say"	"DT"	"VB"	"VB"	"jury"	"NN"
"1:14:00::"	"X"	"X"	"the"	"say"	"DT"	"VB"	"PRP"	"jury"	"NN"
"1:14:00::"	"X"	"however"	"the"	"say"	"DT"	"VB"	"PRP"	"jury"	"NN"
"1:14:00::"	"the"	"group"	"the"	"say"	"DT"	"VB"	"VB"	"jury"	"NN"
"1:14:00::"	"by"	"the"	"outgoing"	"X"	"JJ"	"X"	"X"	"jury"	"NN"
"1:14:00::"	"assistance"	"program"	"the"	"say"	"DT"	"VB"	"CC"	"jury"	"NN"
"1:14:00::"	"X"	"X"	"the"	"also"	"DT"	"RB"	"VB"	"jury"	"NN"
"1:14:00::"	"X"	"X"	"the"	"say"	"DT"	"VB"	"PRP"	"jury"	"NN"
"1:14:00::"	"unmeritorious"	"criticism"	"the"	"say"	"DT"	"VB"	"X"	"jury"	"NN"
"1:14:00::"	"dollar"	"airport"	"the"	"recommend"	"DT"	"VB"	"IN"	"jury"	"NN"
"1:14:00::"	"X"	"X"	"the"	"did"	"DT"	"VBD"	"RB"	"jury"	"NN"
"1:14:00::"	"on"	"matter"	"the"	"recommend"	"DT"	"VB"	"IN"	"jury"	"NN"
"1:14:00::"	"X"	"X"	"the"	"praise"	"DT"	"VB"	"DT"	"jury"	"NN"
