"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"1:03:00::"	"thanks"	"of"	"the"	"for"	"DT"	"IN"	"DT"	"city_of_atlanta"	"NNP"
"1:03:00::"	"been"	"charge"	"by"	"person"	"IN"	"NNP"	"TO"	"fulton"	"NNP"
"1:03:00::"	"it"	"recommend"	"that"	"legislator"	"IN"	"NN"	"VB"	"fulton"	"NNP"
"1:03:00::"	"the"	"atlanta"	"and"	"purchasing_department"	"CC"	"NN"	"WDT"	"fulton_county"	"NNP"
"1:03:00::"	"item"	"in"	"the"	"general"	"DT"	"JJ"	"NN"	"fulton_county"	"NNP"
"1:03:00::"	"the"	"exception"	"of"	"which"	"IN"	"WDT"	"VB"	"fulton_county"	"NNP"
"1:03:00::"	"feel"	"that"	"in_the_future"	"should"	"RB"	"MD"	"VB"	"fulton_county"	"NNP"
"1:03:00::"	"comment"	"on"	"the"	"ordinary"	"DT"	"NN"	"POS"	"fulton"	"NNP"
"1:03:00::"	"X"	"X"	"X"	"legislator"	"X"	"NN"	"VB"	"fulton"	"NNP"
"1:03:00::"	"the"	"group"	"the"	"and"	"DT"	"CC"	"NNP"	"bellwood"	"NNP"
"1:03:00::"	"the"	"location"	"and"	"prison_farm"	"CC"	"NN"	"NNP"	"alpharetta"	"NNP"
"1:03:00::"	"be"	"at"	"637"	"X"	"CD"	"X"	"X"	"e._pelham_rd._ne"	"NNP"
"1:03:00::"	"tuesday"	"night"	"in"	"bring"	"IN"	"VB"	"JJ"	"blue_ridge"	"NNP"
"1:03:00::"	"X"	"in"	"the"	"meeting"	"DT"	"NN"	"DT"	"blue_ridge"	"NNP"
"1:03:00::"	"X"	"a"	"veteran"	"legislator"	"JJ"	"NN"	"MD"	"jackson_county"	"NNP"
"1:03:00::"	"long"	"hot"	"controversy"	"have"	"NN"	"VB"	"DT"	"miller_county"	"NNP"
"1:03:00::"	"the"	"vicinity"	"of"	"X"	"IN"	"X"	"X"	"batavia"	"NNP"
"1:03:00::"	"artist"	"be_born"	"in"	"new_york"	"IN"	"NN"	"IN"	"gilbert_mills"	"NNP"
"1:03:00::"	"western"	"new_york"	"in"	"X"	"IN"	"X"	"X"	"batavia"	"NNP"
"1:03:00::"	"blair_purchase_prize"	"for"	"watercolor"	"of"	"NN"	"IN"	"NN"	"art_institute"	"NNP"
"1:03:00::"	"chicago"	"and_others"	"in"	"new_york"	"IN"	"NN"	"NNP"	"buffalo"	"NNP"
"1:03:00::"	"in"	"location"	"new_york"	"new_haven"	"NN"	"NN"	"NNP"	"chautauqua"	"NNP"
"1:03:00::"	"new_york"	"location"	"new_haven"	"location"	"NN"	"NNP"	"CC"	"rochester"	"NNP"
"1:03:00::"	"location"	"new_haven"	"location"	"and"	"NNP"	"CC"	"RB"	"rockport"	"NNP"
