"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"1:03:00::"	"X"	"X"	"the"	"say"	"DT"	"VB"	"NN"	"fulton_county_grand_jury"	"NNP"
"1:03:00::"	"presentment"	"that"	"the"	"which"	"DT"	"WDT"	"VB"	"city_executive_committee"	"NNP"
"1:03:00::"	"X"	"X"	"the"	"the"	"DT"	"DT"	"NN"	"city_purchasing_department"	"NNP"
"1:03:00::"	"grand_jury"	"took_a_swipe_at"	"the"	"'s"	"DT"	"POS"	"NN"	"state_welfare_department"	"NNP"
"1:03:00::"	"say"	"but"	"the"	"has"	"DT"	"VBZ"	"VB"	"state_welfare_department"	"NNP"
"1:03:00::"	"previous"	"grand_jury"	"the"	"and"	"DT"	"CC"	"DT"	"atlanta_bar_association"	"NNP"
"1:03:00::"	"employ"	"at"	"the"	"and"	"DT"	"CC"	"DT"	"fulton_county_jail"	"NNP"
"1:03:00::"	"atlanta"	"police_department"	"the"	"the"	"DT"	"DT"	"NNP"	"fulton_tax_commissioner_'s_office"	"NNP"
"1:03:00::"	"and"	"location"	"prison_farm"	"and"	"NN"	"CC"	"DT"	"grady_hospital"	"NNP"
"1:03:00::"	"group"	"and"	"the"	"X"	"DT"	"X"	"X"	"fulton_health_department"	"NNP"
"1:03:00::"	"wife"	"person"	"in"	"friday"	"IN"	"NN"	"X"	"fulton_superior_court"	"NNP"
"1:03:00::"	"X"	"X"	"person"	"public_relations"	"NNP"	"NN"	"NN"	"state_highway_department"	"NNP"
"1:03:00::"	"X"	"X"	"the"	"will"	"DT"	"MD"	"VB"	"georgia_legislature"	"NNP"
"1:03:00::"	"was"	"learn"	"the"	"be"	"DT"	"VB"	"RB"	"state_highway_department"	"NNP"
"1:03:00::"	"X"	"X"	"a"	"source"	"DT"	"NN"	"VB"	"highway_department"	"NNP"
"1:03:00::"	"million"	"worth"	"of"	"bond"	"IN"	"NN"	"IN"	"rural_roads_authority"	"NNP"
"1:03:00::"	"to"	"make"	"the"	"a"	"DT"	"DT"	"NN"	"rural_roads_authority"	"NNP"
"1:03:00::"	"X"	"X"	"the"	"source"	"DT"	"NN"	"VB"	"highway_department"	"NNP"
"1:03:00::"	"monday"	"in"	"the"	"to"	"DT"	"TO"	"VB"	"house"	"NNP"
"1:03:00::"	"resolution"	"which"	"the"	"vote"	"DT"	"VB"	"IN"	"house"	"NNP"
"1:03:00::"	"will"	"ask"	"the"	"monday"	"DT"	"NN"	"TO"	"georgia_house"	"NNP"
"1:03:00::"	"X"	"person"	"of"	"is"	"IN"	"VBZ"	"VB"	"commerce"	"NNP"
"1:03:00::"	"is"	"ask"	"the"	"in"	"DT"	"IN"	"DT"	"house"	"NNP"
"1:03:00::"	"toss"	"into"	"the"	"hopper"	"DT"	"NN"	"NN"	"house"	"NNP"
"1:03:00::"	"chairman"	"of"	"the"	"X"	"DT"	"X"	"X"	"miller_county_democratic_executive_committee"	"NNP"
"1:03:00::"	"watercolor"	"at"	"the"	"X"	"DT"	"X"	"X"	"laguna_beach_art_association"	"NNP"
"1:03:00::"	"elect"	"to"	"the"	"as"	"DT"	"IN"	"DT"	"national_academy_of_design"	"NNP"
"1:03:00::"	"ranger_fund_purchase_prize"	"at"	"the"	"in"	"DT"	"IN"	"CD"	"academy"	"NNP"
