"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"2:40:04::"	"the"	"group"	"which"	"overall"	"WDT"	"JJ"	"NN"	"had"	"VB"
"2:30:00::"	"legislator"	"act"	"to"	"these"	"TO"	"DT"	"NN"	"have"	"VB"
"2:40:04::"	"hot"	"controversy"	"location"	"a"	"NNP"	"DT"	"JJ"	"has"	"VB"
"2:40:00::"	"historical"	"feat"	"person"	"the"	"NNP"	"DT"	"JJ"	"had"	"VB"
"2:40:00::"	"style"	"and"	"direction"	"a"	"NN"	"DT"	"NN"	"has"	"VB"
"2:40:03::"	"instruction"	"he"	"ever"	"and"	"RB"	"CC"	"DT"	"had"	"VB"
"2:40:00::"	"technical"	"fact"	"we"	"the"	"PRP"	"DT"	"NN"	"have"	"VB"
"2:40:00::"	"unless"	"the"	"artist"	"lots"	"NN"	"NN"	"JJ"	"has"	"VB"
"2:40:00::"	"yet"	"this"	"word"	"such"	"NN"	"RB"	"DT"	"has"	"VB"
"2:40:01::"	"address"	"text"	"still"	"quite"	"RB"	"RB"	"DT"	"had"	"VB"
"2:40:00::"	"those"	"millions"	"who"	"no"	"WP"	"DT"	"NN"	"have"	"VB"
"2:39:06::"	"for"	"a"	"long_time"	"such"	"NN"	"JJ"	"NNS"	"had"	"VB"
"2:40:00::"	"the"	"administration"	"ever"	"any"	"RB"	"DT"	"NNS"	"had"	"VB"
"2:40:00::"	"X"	"east_providence"	"now"	"no"	"RB"	"DT"	"NN"	"has"	"VB"
"2:40:00::"	"the"	"city"	"in"	"a"	"IN"	"DT"	"JJ"	"having"	"VB"
"2:39:06::"	"only"	"day"	"they"	"a"	"PRP"	"DT"	"NN"	"have"	"VB"
