"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"2:36:08::"	"more"	"term"	"to"	"the"	"TO"	"DT"	"NN"	"make"	"VB"
"2:41:00::"	"say"	"that"	"before"	"a"	"IN"	"DT"	"JJ"	"making"	"VB"
"2:41:00::"	"adjustment"	"should"	"be"	"X"	"VB"	"X"	"X"	"made"	"VB"
"2:41:00::"	"is"	"expect"	"to"	"the"	"TO"	"DT"	"JJ"	"make"	"VB"
"2:30:00::"	"apparently"	"intend"	"to"	"the"	"TO"	"DT"	"NNP"	"make"	"VB"
"2:41:00::"	"usual"	"tool"	"i"	"constant"	"PRP"	"JJ"	"NN"	"make"	"VB"
"2:36:08::"	"police"	"burglary"	"trial"	"statements"	"NN"	"NNS"	"VB"	"made"	"VB"
"2:36:08::"	"X"	"X"	"bellows"	"the"	"NNP"	"DT"	"NN"	"made"	"VB"
"2:36:08::"	"of"	"the"	"defendants"	"statements"	"NNS"	"NNS"	"VB"	"made"	"VB"
"2:41:00::"	"feel"	"compelled"	"to"	"X"	"TO"	"X"	"X"	"make"	"VB"
"2:36:00::"	"strenuous"	"efforts"	"were"	"to"	"VBD"	"TO"	"VB"	"made"	"VB"
"2:30:00::"	"has"	"to"	"be"	"available"	"VB"	"JJ"	"TO"	"made"	"VB"
"2:36:08::"	"a"	"committee"	"to"	"the"	"TO"	"DT"	"NN"	"make"	"VB"
"2:41:00::"	"a"	"means"	"of"	"enforcement"	"IN"	"NN"	"IN"	"making"	"VB"
