"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"1:21:01::"	"to"	"vote"	"on"	"raise"	"IN"	"NN"	"IN"	"pay"	"NN"
"2:40:00::"	"be"	"raise"	"to"	"the"	"TO"	"DT"	"NN"	"pay"	"VB"
"2:40:00::"	"the"	"workers"	"now"	"such"	"RB"	"JJ"	"NNS"	"paying"	"VB"
"2:40:00::"	"on_that"	"date"	"to"	"for"	"TO"	"VB"	"NN"	"pay"	"VB"
"2:40:00::"	"the"	"patient"	"would"	"10"	"MD"	"CD"	"DT"	"pay"	"VB"
"2:40:00::"	"states"	"to"	"help"	"medical_bills"	"VB"	"NN"	"IN"	"pay"	"VB"
"2:40:00::"	"the"	"government"	"would"	"a"	"MD"	"DT"	"CD"	"pay"	"VB"
"2:40:00::"	"the"	"means"	"to"	"for"	"TO"	"VB"	"PRP"	"pay"	"VB"
"2:40:00::"	"the"	"federal_government"	"would"	"half"	"MD"	"NN"	"DT"	"pay"	"VB"
"2:40:04::"	"traffic"	"offenses"	"to"	"fines"	"TO"	"NNS"	"IN"	"pay"	"VB"
