"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"2:42:03::"	"and"	"election"	"law"	"outmoded"	"NN"	"JJ"	"CC"	"are"	"VB"
"2:42:03::"	"which"	"it"	"say"	"well"	"VB"	"RB"	"VB"	"are"	"VB"
"2:42:03::"	"the"	"jury"	"say"	"lacking"	"VB"	"JJ"	"IN"	"is"	"VB"
"2:42:06::"	"X"	"X"	"this"	"one"	"DT"	"JJ"	"IN"	"is"	"VB"
"2:42:03::"	"that"	"there"	"should"	"periodic"	"VB"	"JJ"	"NN"	"be"	"VB"
"2:42:05::"	"the"	"person"	"home"	"at"	"NN"	"IN"	"CD"	"is"	"VB"
"2:41:00::"	"X"	"person"	"has"	"mayor"	"VBZ"	"NN"	"IN"	"been"	"VB"
"2:42:06::"	"texas"	"person"	"will"	"the"	"MD"	"DT"	"JJ"	"be"	"VB"
"2:42:04::"	"the"	"warning"	"there"	"a"	"EX"	"DT"	"JJ"	"was"	"VB"
"2:42:04::"	"no"	"and"	"there"	"no"	"EX"	"DT"	"NN"	"were"	"VB"
"2:42:06::"	"have"	"to"	"face"	"a"	"VB"	"DT"	"NN"	"is"	"VB"
"2:42:03::"	"learn"	"the"	"group"	"very"	"NNP"	"RB"	"RB"	"is"	"VB"
"2:42:03::"	"be"	"very"	"near"	"ready"	"RB"	"JJ"	"TO"	"being"	"VB"
"2:42:00::"	"say"	"there"	"also"	"a"	"RB"	"DT"	"NN"	"is"	"VB"
"2:42:06::"	"sunday"	"night"	"there"	"research"	"EX"	"NN"	"VBG"	"was"	"VB"
"2:42:05::"	"X"	"person"	"who"	"in"	"WP"	"IN"	"PRP$"	"is"	"VB"
"2:42:00::"	"legislator"	"say"	"there"	"some"	"EX"	"JJ"	"NN"	"are"	"VB"
"2:42:06::"	"the"	"new"	"school_superintendent"	"person"	"NN"	"NNP"	"DT"	"is"	"VB"
"2:42:03::"	"X"	"X"	"this"	"the"	"DT"	"DT"	"JJ"	"was"	"VB"
"2:42:03::"	"to"	"the"	"election"	"not"	"NN"	"RB"	"RB"	"was"	"VB"
"2:42:06::"	"that"	"there"	"would"	"irregularity"	"MD"	"NN"	"IN"	"be"	"VB"
"2:42:03::"	"in"	"the"	"united_states_of_america"	"gay"	"NN"	"JJ"	"JJ"	"was"	"VB"
"2:42:06::"	"X"	"the"	"answer"	"yes"	"NN"	"UH"	"X"	"is"	"VB"
