"SENSE"	"A1"	"A2"	"A3"	"A4"	"A5"	"A6"	"A7"	"A8"	"A9"
"2:32:00::"	"the"	"crowd"	"was"	"whether"	"VBD"	"IN"	"PRP"	"asked"	"VB"
"2:32:01::"	"location"	"legislator"	"will"	"the"	"MD"	"DT"	"NNP"	"ask"	"VB"
"2:32:01::"	"of"	"group"	"is"	"the"	"VBZ"	"DT"	"NNP"	"asking"	"VB"
"2:32:01::"	"disclosure"	"when"	"he"	"judge_parsons"	"PRP"	"NNP"	"TO"	"asked"	"VB"
"2:32:01::"	"X"	"X"	"X"	"to"	"X"	"TO"	"VB"	"asked"	"VB"
"2:32:01::"	"say"	"he"	"will"	"congress"	"MD"	"NNP"	"TO"	"ask"	"VB"
"2:32:01::"	"medical"	"research"	"he"	"a"	"PRP"	"DT"	"CD"	"asked"	"VB"
"2:32:04::"	"was"	"constantly"	"being"	"why"	"VBG"	"WRB"	"PRP"	"asked"	"VB"
"2:32:01::"	"X"	"again_and_again"	"it"	"the"	"PRP"	"DT"	"NNPS"	"asked"	"VB"
"2:32:01::"	"X"	"the"	"president"	"the"	"NNP"	"DT"	"NN"	"asks"	"VB"
"2:32:01::"	"yesterday"	"he"	"may"	"the"	"MD"	"DT"	"NN"	"ask"	"VB"
